isoform,combiner,config,mean_coef,std_coef,frac_folds_negative,frac_folds_over_1p5_abs
CYP1A2,nnls,ecfp4_narrow__xgboost,0.0007643825807158934,0.001926199032291627,0.0,0.0
CYP1A2,nnls,mordred_pca__lightgbm,0.009358852339402757,0.007839096720228788,0.0,0.0
CYP1A2,nnls,mordred_pca__rf,0.0,0.0,0.0,0.0
CYP1A2,nnls,mordred_pca__xgboost,0.0,0.0,0.0,0.0
CYP2C9,nnls,chemeleon__lightgbm,0.0,0.0,0.0,0.0
CYP2C9,nnls,chemeleon__rf,0.0,0.0,0.0,0.0
CYP2C9,nnls,chemeleon__xgboost,0.0,0.0,0.0,0.0
CYP2C9,nnls,chemprop_chemeleoninit,0.5416741318683234,0.005671376065006283,0.0,0.0
CYP2C9,nnls,chemprop_randominit,0.1778939136305473,0.00664343250301781,0.0,0.0
CYP2C9,nnls,ecfp4_narrow__lightgbm,0.07820609734374244,0.0085075912119906,0.0,0.0
CYP2C9,nnls,ecfp4_narrow__rf,0.20278731188264906,0.008603692623668916,0.0,0.0
CYP2C9,nnls,ecfp4_narrow__xgboost,0.0,0.0,0.0,0.0
CYP2C9,nnls,mordred_pca__lightgbm,0.0,0.0,0.0,0.0
CYP2C9,nnls,mordred_pca__rf,0.0,0.0,0.0,0.0
CYP2C9,nnls,mordred_pca__xgboost,0.0,0.0,0.0,0.0
CYP2D6,nnls,chemeleon__lightgbm,0.0,0.0,0.0,0.0
CYP2D6,nnls,chemeleon__rf,0.40006697880528613,0.006710414657729977,0.0,0.0
CYP2D6,nnls,chemeleon__xgboost,0.0,0.0,0.0,0.0
CYP2D6,nnls,chemprop_chemeleoninit,0.20726513527950996,0.005899897562512493,0.0,0.0
CYP2D6,nnls,chemprop_randominit,0.13574141338275955,0.005390941359933867,0.0,0.0
CYP2D6,nnls,ecfp4_narrow__lightgbm,0.15533719398259674,0.0073624023637052375,0.0,0.0
CYP2D6,nnls,ecfp4_narrow__rf,0.10535669857609153,0.007027340570197643,0.0,0.0
CYP2D6,nnls,ecfp4_narrow__xgboost,0.0,0.0,0.0,0.0
CYP2D6,nnls,mordred_pca__lightgbm,0.0,0.0,0.0,0.0
CYP2D6,nnls,mordred_pca__rf,0.0,0.0,0.0,0.0
CYP2D6,nnls,mordred_pca__xgboost,0.0,0.0,0.0,0.0
CYP3A4,nnls,chemeleon__lightgbm,0.06210445291350794,0.0039936081602434965,0.0,0.0
CYP3A4,nnls,chemeleon__rf,0.0,0.0,0.0,0.0
CYP3A4,nnls,chemeleon__xgboost,0.0005546246721242319,0.00151338329866897,0.0,0.0
CYP3A4,nnls,chemprop_chemeleoninit,0.4500134960088061,0.006554725670142335,0.0,0.0
CYP3A4,nnls,chemprop_randominit,0.11566240004976837,0.005813617286451091,0.0,0.0
CYP3A4,nnls,ecfp4_narrow__lightgbm,0.29522687452522495,0.006021742049991773,0.0,0.0
CYP3A4,nnls,ecfp4_narrow__rf,0.06515473546809274,0.005320760015695292,0.0,0.0
CYP3A4,nnls,ecfp4_narrow__xgboost,0.015125840519018918,0.006090624011469156,0.0,0.0
CYP3A4,nnls,mordred_pca__lightgbm,0.0,0.0,0.0,0.0
CYP3A4,nnls,mordred_pca__rf,0.0,0.0,0.0,0.0
CYP3A4,nnls,mordred_pca__xgboost,0.0,0.0,0.0,0.0
CYP1A2,nn_ridge,chemeleon__lightgbm,0.0,0.0,0.0,0.0
CYP1A2,nn_ridge,chemeleon__rf,0.15116351221401259,0.00873077322655904,0.0,0.0
CYP1A2,nn_ridge,chemeleon__xgboost,0.0,0.0,0.0,0.0
