isoform,combiner,repeat,fold,ST-RAE
CYP1A2,elastic_net,0,1,0.8345192373215168
CYP1A2,elastic_net,0,2,0.7666541824816145
CYP1A2,elastic_net,0,3,0.7715432560706589
CYP1A2,elastic_net,0,4,0.822374679154772
CYP1A2,elastic_net,1,0,0.8337003066087717
CYP1A2,elastic_net,1,1,0.8463107767756467
CYP1A2,elastic_net,1,2,0.7657376606883489
CYP1A2,elastic_net,1,3,0.8551761736833688
CYP1A2,elastic_net,1,4,0.7869679000490756
CYP1A2,elastic_net,2,0,0.7713259657381127
CYP1A2,elastic_net,2,1,0.7996505053942154
CYP1A2,elastic_net,2,2,0.850353800746341
CYP1A2,elastic_net,2,3,0.8808891706519357
CYP1A2,elastic_net,2,4,0.7505275429109692
CYP1A2,elastic_net,3,0,0.7534091314965625
CYP1A2,elastic_net,3,1,0.8510332642929428
CYP1A2,elastic_net,3,2,0.8590498723157168
CYP1A2,elastic_net,3,3,0.8061069974420944
CYP1A2,elastic_net,3,4,0.7651487760333782
CYP1A2,elastic_net,4,0,0.8240219295085861
CYP1A2,elastic_net,4,1,0.8354043204351366
CYP1A2,elastic_net,4,2,0.7628446713688023
CYP1A2,elastic_net,4,3,0.7505498722988679
CYP1A2,elastic_net,4,4,0.8392070027666044
CYP1A2,nnls,0,0,0.7404833344106321
CYP1A2,nnls,0,1,0.8214629833061478
CYP1A2,nnls,0,2,0.7608895939663269
CYP1A2,nnls,0,3,0.7701977346635381
CYP1A2,nnls,0,4,0.8113739204991178
CYP1A2,nnls,1,0,0.829242800746629
CYP1A2,nnls,1,1,0.8444626975304036
CYP1A2,nnls,1,2,0.7652331973095933
CYP1A2,nnls,1,3,0.847178462099504
CYP1A2,nnls,1,4,0.7914456175972843
CYP1A2,nnls,2,0,0.768928950486467
CYP1A2,nnls,2,1,0.7934131207438179
CYP1A2,nnls,2,2,0.8529076401392388
CYP1A2,nnls,2,3,0.8680995350427118
CYP1A2,nnls,2,4,0.7466741829532709
CYP1A2,nnls,3,0,0.7422626451856567
CYP1A2,nnls,3,1,0.8473748588892482
CYP1A2,nnls,3,2,0.8486539512597596
CYP1A2,nnls,3,3,0.8004419734957112
CYP1A2,nnls,3,4,0.7590286787600091
CYP1A2,nnls,4,0,0.8189759935788832
CYP1A2,nnls,4,1,0.8328289363754955
CYP1A2,nnls,4,2,0.7537811138222503
CYP1A2,nnls,4,3,0.7547682735688187
CYP1A2,nnls,4,4,0.8371609994440233
CYP1A2,nn_ridge,0,0,0.7399031426224433
CYP1A2,nn_ridge,0,1,0.8212773033438562
CYP1A2,nn_ridge,0,2,0.7611869245269645
CYP1A2,nn_ridge,0,3,0.7701977297898821
CYP1A2,nn_ridge,0,4,0.8112791251700524
CYP1A2,nn_ridge,1,0,0.8291572344266073
CYP1A2,nn_ridge,1,1,0.8437693914473358
CYP1A2,nn_ridge,1,2,0.7635818439850816
CYP1A2,nn_ridge,1,3,0.8471784176133084
CYP1A2,nn_ridge,1,4,0.7905879551544782
CYP1A2,nn_ridge,2,0,0.7678301793282274
CYP1A2,nn_ridge,2,1,0.7934130983944588
CYP1A2,nn_ridge,2,2,0.8527098308779623
CYP1A2,nn_ridge,2,3,0.8678269374374923
CYP1A2,nn_ridge,2,4,0.7466946128577023
CYP1A2,nn_ridge,3,0,0.7422626325867058
CYP1A2,nn_ridge,3,1,0.8474118336117975
CYP1A2,nn_ridge,3,2,0.8486539256886874
CYP1A2,nn_ridge,3,3,0.8000933428413141
CYP1A2,nn_ridge,3,4,0.7588686772085038
CYP1A2,nn_ridge,4,0,0.818975978164328
CYP1A2,nn_ridge,4,1,0.832805933296429
CYP1A2,nn_ridge,4,2,0.7537780966899142
CYP1A2,nn_ridge,4,3,0.7547165578955534
CYP1A2,nn_ridge,4,4,0.8371609626207422
CYP2C9,simple_average,0,0,0.7256073694970643
CYP2C9,simple_average,0,1,0.6313771119633979
CYP2C9,simple_average,0,2,0.7401472281075587
CYP2C9,simple_average,0,3,0.6789489069603689
CYP2C9,simple_average,0,4,0.6960047353373762
CYP2C9,simple_average,1,0,0.6369317763553152
CYP2C9,simple_average,1,1,0.6655911315016722
CYP2C9,simple_average,1,2,0.641686473892408
CYP2C9,simple_average,1,3,0.7427381704542731
CYP2C9,simple_average,1,4,0.6675102832108398
CYP2C9,simple_average,2,0,0.7431348103832072
CYP2C9,simple_average,2,1,0.6635334727912774
CYP2C9,simple_average,2,2,0.6574519872513579
CYP2C9,simple_average,2,3,0.7058084966958708
CYP2C9,simple_average,2,4,0.654959731685817
CYP2C9,simple_average,3,0,0.7091083767517388
CYP2C9,simple_average,3,1,0.6383491147169296
CYP2C9,simple_average,3,2,0.7800348607020036
CYP2C9,simple_average,3,3,0.6841747485047677
CYP2C9,simple_average,3,4,0.6656587319229413
CYP2C9,simple_average,4,0,0.6766687602814574
CYP2C9,simple_average,4,1,0.6079166225966416
CYP2C9,simple_average,4,2,0.7013017772144831
CYP2C9,simple_average,4,3,0.7076041621705553
CYP2C9,simple_average,4,4,0.7400459803479302
CYP2C9,ridge,0,0,0.6463805841919474
CYP2C9,ridge,0,1,0.5446963496531447
CYP2C9,ridge,0,2,0.6919810633958093
CYP2C9,ridge,0,3,0.562745344518239
CYP2C9,ridge,0,4,0.6578510674353981
CYP2C9,ridge,1,0,0.5824741775295545
CYP2C9,ridge,1,1,0.5950573306673325
CYP2C9,ridge,1,2,0.5020998973377828
CYP2C9,ridge,1,3,0.611373918327134
CYP2C9,ridge,1,4,0.6393001236035392
CYP2C9,ridge,2,0,0.6869324469709556
CYP2C9,ridge,2,1,0.5908503561481332
CYP2C9,ridge,2,2,0.6354129160021691
CYP2C9,ridge,2,3,0.6626900322491319
CYP2C9,ridge,2,4,0.6323156715068042
CYP2C9,ridge,3,0,0.5835552241183347
CYP2C9,ridge,3,1,0.5736631700774097
CYP2C9,ridge,3,2,0.740945655361237
CYP2C9,ridge,3,3,0.6304735208446773
CYP2C9,ridge,3,4,0.5854172058521868
CYP2C9,ridge,4,0,0.6045756744974812
CYP2C9,ridge,4,1,0.519272324297287
CYP2C9,ridge,4,2,0.7372900386880437
CYP2C9,ridge,4,3,0.6390761031599899
CYP2C9,ridge,4,4,0.6965496645227833
CYP2C9,elastic_net,0,0,0.6488355282126683
CYP2C9,elastic_net,0,1,0.5437180449155556
CYP2C9,elastic_net,0,2,0.6900163892904991
CYP2C9,elastic_net,0,3,0.5607150622628446
CYP2C9,elastic_net,0,4,0.6553079823581405
CYP2C9,elastic_net,1,0,0.5849584222195751
