isoform,combiner,repeat,fold,config,coefficient
CYP1A2,ridge,0,4,mordred_pca__lightgbm,0.09484027396203663
CYP1A2,ridge,0,4,mordred_pca__rf,0.05752865822903414
CYP1A2,ridge,0,4,mordred_pca__xgboost,-0.0042739645364331695
CYP1A2,ridge,0,4,__intercept__,-0.939134363177045
CYP1A2,elastic_net,0,4,chemeleon__lightgbm,0.0
CYP1A2,elastic_net,0,4,chemeleon__rf,0.17888249992262298
CYP1A2,elastic_net,0,4,chemeleon__xgboost,-0.0
CYP1A2,elastic_net,0,4,chemprop_chemeleoninit,0.40496295936628496
CYP1A2,elastic_net,0,4,chemprop_randominit,0.14368782469770017
CYP1A2,elastic_net,0,4,ecfp4_narrow__lightgbm,0.18146853023356319
CYP1A2,elastic_net,0,4,ecfp4_narrow__rf,0.08951535435130852
CYP1A2,elastic_net,0,4,ecfp4_narrow__xgboost,0.04410474270574406
CYP1A2,elastic_net,0,4,mordred_pca__lightgbm,0.08430864281225012
CYP1A2,elastic_net,0,4,mordred_pca__rf,0.04984171059988308
CYP1A2,elastic_net,0,4,mordred_pca__xgboost,0.0
CYP1A2,elastic_net,0,4,__intercept__,-0.8780302178489325
CYP1A2,nnls,0,4,chemeleon__lightgbm,0.0
CYP1A2,nnls,0,4,chemeleon__rf,0.14991202600529505
CYP1A2,nnls,0,4,chemeleon__xgboost,0.0
CYP1A2,nnls,0,4,chemprop_chemeleoninit,0.4500926912107298
CYP1A2,nnls,0,4,chemprop_randominit,0.14753697327898904
CYP1A2,nnls,0,4,ecfp4_narrow__lightgbm,0.18128428910578256
CYP1A2,nnls,0,4,ecfp4_narrow__rf,0.06450150147878925
CYP1A2,nnls,0,4,ecfp4_narrow__xgboost,0.0043846647420258756
CYP1A2,nnls,0,4,mordred_pca__lightgbm,0.002230385194377513
CYP1A2,nnls,0,4,mordred_pca__rf,0.0
CYP1A2,nnls,0,4,mordred_pca__xgboost,0.0
CYP1A2,nn_ridge,0,4,chemeleon__lightgbm,0.0
CYP1A2,nn_ridge,0,4,chemeleon__rf,0.1492622864480779
CYP1A2,nn_ridge,0,4,chemeleon__xgboost,0.0
CYP1A2,nn_ridge,0,4,chemprop_chemeleoninit,0.4468228500285063
CYP1A2,nn_ridge,0,4,chemprop_randominit,0.1488147386234105
CYP1A2,nn_ridge,0,4,ecfp4_narrow__lightgbm,0.1784361143635071
CYP1A2,nn_ridge,0,4,ecfp4_narrow__rf,0.06659148172947466
CYP1A2,nn_ridge,0,4,ecfp4_narrow__xgboost,0.006206887941347527
CYP1A2,nn_ridge,0,4,mordred_pca__lightgbm,0.0037903486577050105
CYP1A2,nn_ridge,0,4,mordred_pca__rf,0.0
CYP1A2,nn_ridge,0,4,mordred_pca__xgboost,0.0
CYP1A2,ridge,1,0,chemeleon__lightgbm,0.014145597057539896
CYP1A2,ridge,1,0,chemeleon__rf,0.17214675158764434
CYP1A2,ridge,1,0,chemeleon__xgboost,-0.009072915958292108
CYP1A2,ridge,1,0,chemprop_chemeleoninit,0.3729537299295437
CYP1A2,ridge,1,0,chemprop_randominit,0.1498505534438535
CYP1A2,ridge,1,0,ecfp4_narrow__lightgbm,0.1783022895803212
CYP1A2,ridge,1,0,ecfp4_narrow__rf,0.11179136877894853
CYP1A2,ridge,1,0,ecfp4_narrow__xgboost,0.03764827376778334
CYP1A2,ridge,1,0,mordred_pca__lightgbm,0.10382363945352213
CYP1A2,ridge,1,0,mordred_pca__rf,0.06300941732819801
CYP1A2,ridge,1,0,mordred_pca__xgboost,-0.00401370396679825
CYP1A2,ridge,1,0,__intercept__,-0.9523385596576119
CYP1A2,elastic_net,1,0,chemeleon__lightgbm,0.0
CYP1A2,elastic_net,1,0,chemeleon__rf,0.17994249454683883
CYP1A2,elastic_net,1,0,chemeleon__xgboost,-0.0
CYP1A2,elastic_net,1,0,chemprop_chemeleoninit,0.40165229543475156
CYP1A2,elastic_net,1,0,chemprop_randominit,0.1411793783272219
CYP1A2,elastic_net,1,0,ecfp4_narrow__lightgbm,0.19786850048583587
CYP1A2,elastic_net,1,0,ecfp4_narrow__rf,0.09875829006665668
CYP1A2,elastic_net,1,0,ecfp4_narrow__xgboost,0.013159614703317725
CYP1A2,elastic_net,1,0,mordred_pca__lightgbm,0.09565130981788654
CYP1A2,elastic_net,1,0,mordred_pca__rf,0.03409922704693947
CYP1A2,elastic_net,1,0,mordred_pca__xgboost,0.0
CYP1A2,elastic_net,1,0,__intercept__,-0.8127779355305487
CYP1A2,nnls,1,0,chemeleon__lightgbm,0.0
CYP1A2,nnls,1,0,chemeleon__rf,0.14590953744895535
CYP1A2,nnls,1,0,chemeleon__xgboost,0.0
CYP1A2,nnls,1,0,chemprop_chemeleoninit,0.4378507212202776
CYP1A2,nnls,1,0,chemprop_randominit,0.14774241789125236
CYP1A2,nnls,1,0,ecfp4_narrow__lightgbm,0.1858290733201238
CYP1A2,nnls,1,0,ecfp4_narrow__rf,0.06809070276359433
CYP1A2,nnls,1,0,ecfp4_narrow__xgboost,0.0
CYP1A2,nnls,1,0,mordred_pca__lightgbm,0.01326208195805427
CYP1A2,nnls,1,0,mordred_pca__rf,0.0
CYP1A2,nnls,1,0,mordred_pca__xgboost,0.0
CYP1A2,nn_ridge,1,0,chemeleon__lightgbm,0.0
CYP1A2,nn_ridge,1,0,chemeleon__rf,0.14537642014032826
CYP1A2,nn_ridge,1,0,chemeleon__xgboost,0.0
CYP1A2,nn_ridge,1,0,chemprop_chemeleoninit,0.4347312951159775
