isoform,config_1,config_2,error_correlation
CYP2D6,chemeleon__rf,chemprop_chemeleoninit,0.914311803117199
CYP2D6,chemeleon__rf,chemprop_randominit,0.8879685703613013
CYP2D6,chemeleon__rf,ecfp4_narrow__lightgbm,0.9139472729142363
CYP2D6,chemeleon__rf,ecfp4_narrow__rf,0.9098330093781899
CYP2D6,chemeleon__rf,ecfp4_narrow__xgboost,0.9075858976395292
CYP2D6,chemeleon__rf,mordred_pca__lightgbm,0.9203266650039655
CYP2D6,chemeleon__rf,mordred_pca__rf,0.9354101491185424
CYP2D6,chemeleon__rf,mordred_pca__xgboost,0.897242597882255
CYP2D6,chemeleon__xgboost,chemeleon__xgboost,1.0
CYP2D6,chemeleon__xgboost,chemprop_chemeleoninit,0.8748515527746249
CYP2D6,chemeleon__xgboost,chemprop_randominit,0.850896606800707
CYP2D6,chemeleon__xgboost,ecfp4_narrow__lightgbm,0.9025477013797156
CYP2D6,chemeleon__xgboost,ecfp4_narrow__rf,0.8960498199205779
CYP2D6,chemeleon__xgboost,ecfp4_narrow__xgboost,0.9073418312036561
CYP2D6,chemeleon__xgboost,mordred_pca__lightgbm,0.91566068642759
CYP2D6,chemeleon__xgboost,mordred_pca__rf,0.9201787885243236
CYP2D6,chemeleon__xgboost,mordred_pca__xgboost,0.8936257126063003
CYP2D6,chemprop_chemeleoninit,chemprop_chemeleoninit,1.0
CYP2D6,chemprop_chemeleoninit,chemprop_randominit,0.8890822464082514
CYP2D6,chemprop_chemeleoninit,ecfp4_narrow__lightgbm,0.895872017632509
CYP2D6,chemprop_chemeleoninit,ecfp4_narrow__rf,0.8876595386133515
CYP2D6,chemprop_chemeleoninit,ecfp4_narrow__xgboost,0.8766066163708413
CYP2D6,chemprop_chemeleoninit,mordred_pca__lightgbm,0.8818609117969151
CYP2D6,chemprop_chemeleoninit,mordred_pca__rf,0.8926579865366326
CYP2D6,chemprop_chemeleoninit,mordred_pca__xgboost,0.8537648371992499
CYP2D6,chemprop_randominit,chemprop_randominit,1.0
CYP2D6,chemprop_randominit,ecfp4_narrow__lightgbm,0.8756666915787955
CYP2D6,chemprop_randominit,ecfp4_narrow__rf,0.8588888278754476
CYP2D6,chemprop_randominit,ecfp4_narrow__xgboost,0.8536655552013851
CYP2D6,chemprop_randominit,mordred_pca__lightgbm,0.8539789885904175
CYP2D6,chemprop_randominit,mordred_pca__rf,0.865497848782777
CYP2D6,chemprop_randominit,mordred_pca__xgboost,0.8316000919734446
CYP2D6,ecfp4_narrow__lightgbm,ecfp4_narrow__lightgbm,1.0
CYP2D6,ecfp4_narrow__lightgbm,ecfp4_narrow__rf,0.9506852762195205
CYP2D6,ecfp4_narrow__lightgbm,ecfp4_narrow__xgboost,0.9535550664084371
CYP2D6,ecfp4_narrow__lightgbm,mordred_pca__lightgbm,0.9207016645415401
CYP2D6,ecfp4_narrow__lightgbm,mordred_pca__rf,0.9252851130757823
CYP2D6,ecfp4_narrow__lightgbm,mordred_pca__xgboost,0.9029373867664668
CYP2D6,ecfp4_narrow__rf,ecfp4_narrow__rf,1.0
CYP2D6,ecfp4_narrow__rf,ecfp4_narrow__xgboost,0.9508063258851593
CYP2D6,ecfp4_narrow__rf,mordred_pca__lightgbm,0.9126924274707
CYP2D6,ecfp4_narrow__rf,mordred_pca__rf,0.9181033684361943
CYP2D6,ecfp4_narrow__rf,mordred_pca__xgboost,0.8957083307909253
CYP2D6,ecfp4_narrow__xgboost,ecfp4_narrow__xgboost,1.0
CYP2D6,ecfp4_narrow__xgboost,mordred_pca__lightgbm,0.9302212320717134
CYP2D6,ecfp4_narrow__xgboost,mordred_pca__rf,0.9311667091695652
CYP2D6,ecfp4_narrow__xgboost,mordred_pca__xgboost,0.9153316736473669
CYP2D6,mordred_pca__lightgbm,mordred_pca__lightgbm,1.0
CYP2D6,mordred_pca__lightgbm,mordred_pca__rf,0.9646795360989301
CYP2D6,mordred_pca__lightgbm,mordred_pca__xgboost,0.9449848355992782
CYP2D6,mordred_pca__rf,mordred_pca__rf,1.0
CYP2D6,mordred_pca__rf,mordred_pca__xgboost,0.9433331811686928
CYP2D6,mordred_pca__xgboost,mordred_pca__xgboost,1.0
CYP3A4,chemeleon__lightgbm,chemeleon__lightgbm,1.0
CYP3A4,chemeleon__lightgbm,chemeleon__rf,0.9364519753299698
CYP3A4,chemeleon__lightgbm,chemeleon__xgboost,0.8933753674473252
CYP3A4,chemeleon__lightgbm,chemprop_chemeleoninit,0.8022126183681827
CYP3A4,chemeleon__lightgbm,chemprop_randominit,0.7570656225666362
CYP3A4,chemeleon__lightgbm,ecfp4_narrow__lightgbm,0.7890441435029842
CYP3A4,chemeleon__lightgbm,ecfp4_narrow__rf,0.7962354453161079
CYP3A4,chemeleon__lightgbm,ecfp4_narrow__xgboost,0.7815932758547937
CYP3A4,chemeleon__lightgbm,mordred_pca__lightgbm,0.8539093138601137
CYP3A4,chemeleon__lightgbm,mordred_pca__rf,0.8534097462421716
CYP3A4,chemeleon__lightgbm,mordred_pca__xgboost,0.8059169337714036
CYP3A4,chemeleon__rf,chemeleon__rf,1.0
CYP3A4,chemeleon__rf,chemeleon__xgboost,0.891175857847622
CYP3A4,chemeleon__rf,chemprop_chemeleoninit,0.7660604571631087
CYP3A4,chemeleon__rf,chemprop_randominit,0.7384607071192135
CYP3A4,chemeleon__rf,ecfp4_narrow__lightgbm,0.7731102023893318
CYP3A4,chemeleon__rf,ecfp4_narrow__rf,0.798361260615907
CYP3A4,chemeleon__rf,ecfp4_narrow__xgboost,0.7781030606743516
CYP3A4,chemeleon__rf,mordred_pca__lightgbm,0.8767231936722356
CYP3A4,chemeleon__rf,mordred_pca__rf,0.906795492711483
CYP3A4,chemeleon__rf,mordred_pca__xgboost,0.834920744455081
CYP3A4,chemeleon__xgboost,chemeleon__xgboost,1.0
CYP3A4,chemeleon__xgboost,chemprop_chemeleoninit,0.7467910503581825
CYP3A4,chemeleon__xgboost,chemprop_randominit,0.71147079344645
CYP3A4,chemeleon__xgboost,ecfp4_narrow__lightgbm,0.7417625796794771
CYP3A4,chemeleon__xgboost,ecfp4_narrow__rf,0.7530801806959859
CYP3A4,chemeleon__xgboost,ecfp4_narrow__xgboost,0.7379428437026024
CYP3A4,chemeleon__xgboost,mordred_pca__lightgbm,0.8119741161387517
CYP3A4,chemeleon__xgboost,mordred_pca__rf,0.8169046417919783
CYP3A4,chemeleon__xgboost,mordred_pca__xgboost,0.7672160098388298
CYP3A4,chemprop_chemeleoninit,chemprop_chemeleoninit,1.0
CYP3A4,chemprop_chemeleoninit,chemprop_randominit,0.7844770654936482
CYP3A4,chemprop_chemeleoninit,ecfp4_narrow__lightgbm,0.7747149603959591
CYP3A4,chemprop_chemeleoninit,ecfp4_narrow__rf,0.7461316511905183
CYP3A4,chemprop_chemeleoninit,ecfp4_narrow__xgboost,0.7482240752237426
CYP3A4,chemprop_chemeleoninit,mordred_pca__lightgbm,0.749176263696307
CYP3A4,chemprop_chemeleoninit,mordred_pca__rf,0.7174001989786226
CYP3A4,chemprop_chemeleoninit,mordred_pca__xgboost,0.6910400516811416
CYP3A4,chemprop_randominit,chemprop_randominit,1.0
CYP3A4,chemprop_randominit,ecfp4_narrow__lightgbm,0.7244544859849428
CYP3A4,chemprop_randominit,ecfp4_narrow__rf,0.7146601861128506
CYP3A4,chemprop_randominit,ecfp4_narrow__xgboost,0.7042341862220257
CYP3A4,chemprop_randominit,mordred_pca__lightgbm,0.7143593109378015
CYP3A4,chemprop_randominit,mordred_pca__rf,0.6954341202804597
CYP3A4,chemprop_randominit,mordred_pca__xgboost,0.6722260791913874
CYP3A4,ecfp4_narrow__lightgbm,ecfp4_narrow__lightgbm,1.0
CYP3A4,ecfp4_narrow__lightgbm,ecfp4_narrow__rf,0.9245342924513392
CYP3A4,ecfp4_narrow__lightgbm,ecfp4_narrow__xgboost,0.9200022194340938
CYP3A4,ecfp4_narrow__lightgbm,mordred_pca__lightgbm,0.7781642713242349
CYP3A4,ecfp4_narrow__lightgbm,mordred_pca__rf,0.763107560375512
CYP3A4,ecfp4_narrow__lightgbm,mordred_pca__xgboost,0.7262392451579855
CYP3A4,ecfp4_narrow__rf,ecfp4_narrow__rf,1.0
CYP3A4,ecfp4_narrow__rf,ecfp4_narrow__xgboost,0.9255457565401387
CYP3A4,ecfp4_narrow__rf,mordred_pca__lightgbm,0.7997052231060404
CYP3A4,ecfp4_narrow__rf,mordred_pca__rf,0.795434737524834
CYP3A4,ecfp4_narrow__rf,mordred_pca__xgboost,0.7516555047461001
CYP3A4,ecfp4_narrow__xgboost,ecfp4_narrow__xgboost,1.0
CYP3A4,ecfp4_narrow__xgboost,mordred_pca__lightgbm,0.7792655496730708
CYP3A4,ecfp4_narrow__xgboost,mordred_pca__rf,0.7722626658627336
CYP3A4,ecfp4_narrow__xgboost,mordred_pca__xgboost,0.7310492761203014
CYP3A4,mordred_pca__lightgbm,mordred_pca__lightgbm,1.0
CYP3A4,mordred_pca__lightgbm,mordred_pca__rf,0.9327742098571621
CYP3A4,mordred_pca__lightgbm,mordred_pca__xgboost,0.8961407736996243
CYP3A4,mordred_pca__rf,mordred_pca__rf,1.0
CYP3A4,mordred_pca__rf,mordred_pca__xgboost,0.8951729174545665
CYP3A4,mordred_pca__xgboost,mordred_pca__xgboost,1.0
