isoform,offset,strae,r2
CYP1A2,-1.08,2.0284133728675826,-0.8573171732824116
CYP1A2,-1.07,2.0122156866156238,-0.8371463974156186
CYP1A2,-1.06,1.996066314979907,-0.8171641000152985
CYP1A2,-1.05,1.9799643840276264,-0.7973702810814527
CYP1A2,-1.04,1.963908513995311,-0.7777649406140819
CYP1A2,-1.03,1.9478939004209674,-0.7583480786131844
CYP1A2,-1.02,1.9319306648887595,-0.7391196950787606
CYP1A2,-1.01,1.9160204735550763,-0.7200797900108107
CYP1A2,-1.0,1.9001634879652924,-0.7012283634093357
CYP1A2,-0.99,1.8843700316208791,-0.6825654152743343
CYP1A2,-0.98,1.8686339668206324,-0.6640909456058062
CYP1A2,-0.97,1.8529372424251653,-0.6458049544037523
CYP1A2,-0.96,1.8372919730407418,-0.6277074416681727
CYP1A2,-0.95,1.821692832929052,-0.6097984073990674
CYP1A2,-0.94,1.806162146819259,-0.5920778515964351
CYP1A2,-0.93,1.7906927203518432,-0.5745457742602775
CYP1A2,-0.92,1.775284052393231,-0.5572021753905936
CYP1A2,-0.91,1.7599323861778107,-0.5400470549873841
CYP1A2,-0.9,1.7446425125085472,-0.5230804130506481
CYP1A2,-0.89,1.729427542005668,-0.5063022495803857
CYP1A2,-0.88,1.714273324176248,-0.48971256457659784
CYP1A2,-0.87,1.699163711341276,-0.47331135803928404
CYP1A2,-0.86,1.6841138425585735,-0.4570986299684441
CYP1A2,-0.85,1.6691421094202237,-0.44107438036407753
CYP1A2,-0.84,1.654228621068591,-0.4252386092261857
CYP1A2,-0.83,1.6393709326386485,-0.40959131655476777
CYP1A2,-0.82,1.6245742575275273,-0.39413250234982367
CYP1A2,-0.81,1.6098441346581012,-0.3788621666113534
CYP1A2,-0.8,1.595200890377564,-0.36378030933935657
CYP1A2,-0.79,1.5806342206499984,-0.3488869305338347
CYP1A2,-0.78,1.5661588301819211,-0.33418203019478665
CYP1A2,-0.77,1.5517632849698886,-0.31966560832221225
CYP1A2,-0.76,1.5374289316093848,-0.3053376649161115
CYP1A2,-0.75,1.5231787543531143,-0.2911981999764852
CYP1A2,-0.74,1.5090354846321008,-0.27724721350333303
CYP1A2,-0.73,1.4949782005914949,-0.26348470549665426
CYP1A2,-0.72,1.4810073635548582,-0.24991067595644956
CYP1A2,-0.71,1.4671715193765453,-0.23652512488271915
CYP1A2,-0.7,1.453449239290422,-0.22332805227546304
CYP1A2,-0.69,1.4398510872141306,-0.21031945813468012
CYP1A2,-0.68,1.426346238526853,-0.19749934246037126
CYP1A2,-0.67,1.412929736168752,-0.1848677052525367
CYP1A2,-0.66,1.3995943172114127,-0.17242454651117645
CYP1A2,-0.65,1.3863521364457265,-0.16016986623628982
CYP1A2,-0.64,1.373221712155576,-0.1481036644278766
CYP1A2,-0.63,1.360206145242732,-0.13622594108593788
CYP1A2,-0.62,1.3473072364943333,-0.12453669621047325
CYP1A2,-0.61,1.334526737003441,-0.11303592980148225
CYP1A2,-0.6,1.321899114677055,-0.10172364185896487
CYP1A2,-0.59,1.3093788386029326,-0.09059983238292202
CYP1A2,-0.58,1.296984261629354,-0.07966450137335324
CYP1A2,-0.57,1.2847250844176743,-0.0689176488302583
