isoform,s,strae,r2
CYP1A2,2.67,1.866326195838166,-1.1403840779597738
CYP1A2,2.68,1.874406785126057,-1.1552342263247297
CYP1A2,2.69,1.882504311013659,-1.1701633234106668
CYP1A2,2.7,1.8906131357541562,-1.1851713692175876
CYP1A2,2.71,1.8987361304444397,-1.20025836374549
CYP1A2,2.72,1.906881361108547,-1.2154243069943762
CYP1A2,2.73,1.9150430433817365,-1.230669198964244
CYP1A2,2.74,1.9232183793215647,-1.2459930396550951
CYP1A2,2.75,1.9314052977136873,-1.2613958290669283
CYP1A2,2.76,1.9396015618725082,-1.2768775671997434
CYP1A2,2.77,1.9478067307003581,-1.2924382540535415
CYP1A2,2.78,1.956030710587248,-1.308077889628322
CYP1A2,2.79,1.9642691883618606,-1.323796473924086
CYP1A2,2.8,1.9725259737792598,-1.3395940069408314
CYP1A2,2.81,1.9808052882532594,-1.3554704886785598
CYP1A2,2.82,1.9891034407729467,-1.3714259191372706
CYP1A2,2.83,1.9974156346071448,-1.387460298316964
CYP1A2,2.84,2.0057395555812128,-1.4035736262176406
CYP1A2,2.85,2.0140830962518965,-1.4197659028392993
CYP1A2,2.86,2.022437039812809,-1.43603712818194
CYP1A2,2.87,2.0307977508779738,-1.452387302245564
CYP1A2,2.88,2.039170812830198,-1.4688164250301696
CYP1A2,2.89,2.047557235741135,-1.4853244965357586
CYP1A2,2.9,2.055960974326563,-1.50191151676233
CYP1A2,2.91,2.0643824002090034,-1.518577485709884
CYP1A2,2.92,2.0728208254723097,-1.5353224033784203
CYP1A2,2.93,2.0812700655416614,-1.5521462697679396
CYP1A2,2.94,2.089728174887621,-1.5690490848784404
CYP1A2,2.95,2.09819320140171,-1.5860308487099246
CYP1A2,2.96,2.1066657711842827,-1.6030915612623908
CYP1A2,2.97,2.115145576930364,-1.6202312225358404
CYP1A2,2.98,2.1236418409351203,-1.637449832530272
CYP1A2,2.99,2.132147001763017,-1.654747391245686
CYP1A2,3.0,2.140664034607159,-1.672123898682083
CYP2C9,0.2,0.8590757391483115,0.15886464453968963
CYP2C9,0.21,0.8527472164556589,0.16575971645026766
CYP2C9,0.22,0.846472411012069,0.17255467985450945
CYP2C9,0.23,0.8402635191991612,0.179249534752415
CYP2C9,0.24,0.8341343294078262,0.18584428114398432
CYP2C9,0.25,0.8280831417980404,0.19233891902921751
CYP2C9,0.26,0.8221316085983994,0.19873344840811435
CYP2C9,0.27,0.8162501033674876,0.20502786928067507
CYP2C9,0.28,0.8104231285838919,0.21122218164689932
CYP2C9,0.29,0.804661242989244,0.21731638550678734
CYP2C9,0.3,0.7989886132629332,0.22331048086033933
CYP2C9,0.31,0.7933819627392559,0.22920446770755498
CYP2C9,0.32,0.7878690571747774,0.23499834604843428
CYP2C9,0.33,0.7824602047480181,0.24069211588297734
CYP2C9,0.34,0.7771450637124393,0.2462857772111844
CYP2C9,0.35,0.7719147095119036,0.25177933003305486
CYP2C9,0.36,0.766760869031054,0.2571727743485893
CYP2C9,0.37,0.7617004547914182,0.26246611015778754
CYP2C9,0.38,0.756774329991155,0.2676593374606494
CYP2C9,0.39,0.7519415005928475,0.27275245625717504
CYP2C9,0.4,0.7472392699325487,0.27774546654736443
CYP2C9,0.41,0.7426420963063128,0.2826383683312177
CYP2C9,0.42,0.7381550313297743,0.2874311616087346
CYP2C9,0.43,0.733818731179212,0.2921238463799152
CYP2C9,0.44,0.7296092426297325,0.2967164226447596
CYP2C9,0.45,0.7255299843906824,0.3012088904032678
CYP2C9,0.46,0.721591233735244,0.3056012496554398
CYP2C9,0.47,0.7177747032861872,0.3098935004012754
CYP2C9,0.48,0.7140856280611706,0.3140856426407749
CYP2C9,0.49,0.710501197354291,0.318177676373938
CYP2C9,0.5,0.7070052365900158,0.3221696016007649
CYP2C9,0.51,0.7036544494852074,0.32606141832125557
CYP2C9,0.52,0.7004182123192698,0.3298531265354101
CYP2C9,0.53,0.6973103129550757,0.3335447262432283
CYP2C9,0.54,0.6943037233354727,0.33713621744471034
CYP2C9,0.55,0.6914289272179402,0.34062760013985593
CYP2C9,0.56,0.6886720958753776,0.3440188743286654
CYP2C9,0.57,0.685993657111374,0.34731004001113863
CYP2C9,0.58,0.6834367529386061,0.3505010971872756
CYP2C9,0.59,0.680981747856392,0.35359204585707626
CYP2C9,0.6,0.6786361607041972,0.3565828860205408
CYP2C9,0.61,0.6763919022411021,0.35947361767766906
CYP2C9,0.62,0.6742650924713119,0.3622642408284611
CYP2C9,0.63,0.6722268450853702,0.3649547554729168
CYP2C9,0.64,0.6702931294868789,0.36754516161103623
CYP2C9,0.65,0.6684422748250415,0.37003545924281944
CYP2C9,0.66,0.6666765827905631,0.3724256483682664
CYP2C9,0.67,0.66501880676849,0.37471572898737715
CYP2C9,0.68,0.6634872380568722,0.37690570110015176
CYP2C9,0.69,0.6620703679004684,0.3789955647065899
CYP2C9,0.7,0.6607634498453707,0.3809853198066919
CYP2C9,0.71,0.6595787959284548,0.3828749664004576
CYP2C9,0.72,0.6585145030119203,0.38466450448788725
CYP2C9,0.73,0.6575510982151752,0.38635393406898055
CYP2C9,0.74,0.6567197629333946,0.3879432551437376
CYP2C9,0.75,0.656013447831992,0.38943246771215834
CYP2C9,0.76,0.6554281110599369,0.3908215717742428
CYP2C9,0.77,0.6549397322677504,0.39211056732999117
