isoform,offset,s,strae
CYP1A2,-1.9,1.65,3.4237457347826052
CYP1A2,-1.9,1.7,3.4240493134497614
CYP1A2,-1.9,1.75,3.424747394687911
CYP1A2,-1.9,1.8,3.4258671175837776
CYP1A2,-1.9,1.85,3.4273746123674464
CYP1A2,-1.9,1.9,3.42935181629451
CYP1A2,-1.9,1.95,3.4318579634703044
CYP1A2,-1.9,2.0,3.434834212347555
CYP1A2,-1.9,2.05,3.438184738340724
CYP1A2,-1.9,2.1,3.442087344752665
CYP1A2,-1.9,2.15,3.44659431532049
CYP1A2,-1.9,2.2,3.451666280791814
CYP1A2,-1.9,2.25,3.457371711120728
CYP1A2,-1.9,2.3,3.4637555095145127
CYP1A2,-1.9,2.35,3.4707676165578185
CYP1A2,-1.9,2.4,3.4784738246274904
CYP1A2,-1.9,2.45,3.48695480356038
CYP1A2,-1.9,2.5,3.4961129153504933
CYP1A2,-1.9,2.55,3.5059258915045275
CYP1A2,-1.9,2.6,3.5164207764475
CYP1A2,-1.9,2.65,3.5276107743357557
CYP1A2,-1.9,2.7,3.5395068324790713
CYP1A2,-1.9,2.75,3.552052701052474
CYP1A2,-1.9,2.8,3.565261883073541
CYP1A2,-1.9,2.85,3.5791780076066937
CYP1A2,-1.9,2.9,3.5938584391523447
CYP1A2,-1.9,2.95,3.6092679889113315
CYP1A2,-1.9,3.0,3.6253753152867496
CYP1A2,-1.85,0.2,3.4596979542922983
CYP1A2,-1.85,0.25,3.4528866270223033
CYP1A2,-1.85,0.3,3.4462479124006555
CYP1A2,-1.85,0.35,3.4396765395037003
CYP1A2,-1.85,0.4,3.4331991179646213
CYP1A2,-1.85,0.45,3.426829769998142
CYP1A2,-1.85,0.5,3.4205285487711747
CYP1A2,-1.85,0.55,3.414343699928794
CYP1A2,-1.85,0.6,3.408253199754277
CYP1A2,-1.85,0.65,3.402276018285962
CYP1A2,-1.85,0.7,3.3963937017251733
CYP1A2,-1.85,0.75,3.3906462841940415
CYP1A2,-1.85,0.8,3.3850806196938885
CYP1A2,-1.85,0.85,3.379739173306825
CYP1A2,-1.85,0.9,3.374574373778066
CYP1A2,-1.85,0.95,3.3696134171922654
CYP1A2,-1.85,1.0,3.364879912466567
CYP1A2,-1.85,1.05,3.3604391615848774
CYP1A2,-1.85,1.1,3.3562283527697097
CYP1A2,-1.85,1.15,3.352269161551818
CYP1A2,-1.85,1.2,3.3486084787816295
CYP1A2,-1.85,1.25,3.345223186842451
