isoform,combo,repeat,fold,ST-RAE,R2
CYP1A2,ecfp4_narrow__rf+chemeleon__rf,0,4,0.8726017456430197,0.1988375548981511
CYP1A2,ecfp4_narrow__rf+chemeleon__rf,1,0,0.8574125966951475,0.19825281263297215
CYP1A2,ecfp4_narrow__rf+chemeleon__rf,1,1,0.8808926061359245,0.2039368563544
CYP1A2,ecfp4_narrow__rf+chemeleon__rf,1,2,0.7583825673361391,0.2515599519490594
CYP1A2,ecfp4_narrow__rf+chemeleon__rf,1,3,0.8565929116859805,0.17953040950906604
CYP1A2,ecfp4_narrow__rf+chemeleon__rf,1,4,0.8085322168122442,0.21778969852243346
CYP1A2,ecfp4_narrow__rf+chemeleon__rf,2,0,0.818497089886505,0.22851076786738486
CYP1A2,ecfp4_narrow__rf+chemeleon__rf,2,1,0.8131862296691109,0.2385257823179654
CYP1A2,ecfp4_narrow__rf+chemeleon__rf,2,2,0.8260333605282743,0.25235282168158407
CYP1A2,ecfp4_narrow__rf+chemeleon__rf,2,3,0.9181849063520544,0.15666061628142366
CYP1A2,ecfp4_narrow__rf+chemeleon__rf,2,4,0.8038729373633299,0.1859513256865624
CYP1A2,ecfp4_narrow__rf+chemeleon__rf,3,0,0.8113315313547073,0.22305150431743595
CYP1A2,ecfp4_narrow__rf+chemeleon__rf,3,1,0.8807257328147752,0.18313859518995831
CYP1A2,ecfp4_narrow__rf+chemeleon__rf,3,2,0.8787698379919312,0.19919059280650772
CYP1A2,ecfp4_narrow__rf+chemeleon__rf,3,3,0.8614009430968034,0.2130673626093043
CYP1A2,ecfp4_narrow__rf+chemeleon__rf,3,4,0.7739487650016569,0.23323372529178288
CYP1A2,ecfp4_narrow__rf+chemeleon__rf,4,0,0.8377568705339729,0.22038316190234647
CYP1A2,ecfp4_narrow__rf+chemeleon__rf,4,1,0.8354201661486736,0.16180885687271704
CYP1A2,ecfp4_narrow__rf+chemeleon__rf,4,2,0.8326919702829003,0.19183060998513113
CYP1A2,ecfp4_narrow__rf+chemeleon__rf,4,3,0.830421087672412,0.2587138172072745
CYP1A2,ecfp4_narrow__rf+chemeleon__rf,4,4,0.8377877522446329,0.23873917305192055
CYP1A2,ecfp4_narrow__rf+ecfp4_narrow__lightgbm,0,0,0.8225098439431916,0.21559271977045005
CYP1A2,ecfp4_narrow__rf+ecfp4_narrow__lightgbm,0,1,0.8960809705449292,0.1414717814439003
CYP1A2,ecfp4_narrow__rf+ecfp4_narrow__lightgbm,0,2,0.8005584122879909,0.239910781321716
CYP1A2,ecfp4_narrow__rf+ecfp4_narrow__lightgbm,0,3,0.8535527979786194,0.2199078242391244
CYP1A2,ecfp4_narrow__rf+ecfp4_narrow__lightgbm,0,4,0.8745145126859701,0.19138784043781534
CYP1A2,ecfp4_narrow__rf+ecfp4_narrow__lightgbm,1,0,0.8715091698949369,0.1689708857804385
CYP1A2,ecfp4_narrow__rf+ecfp4_narrow__lightgbm,1,1,0.8948928103256165,0.176681046030319
CYP1A2,ecfp4_narrow__rf+ecfp4_narrow__lightgbm,1,2,0.7810629631823481,0.23157856517911304
CYP1A2,ecfp4_narrow__rf+ecfp4_narrow__lightgbm,1,3,0.8573948050251838,0.18353155257371018
CYP1A2,ecfp4_narrow__rf+ecfp4_narrow__lightgbm,1,4,0.8057331938880354,0.21454683472505753
CYP1A2,ecfp4_narrow__rf+ecfp4_narrow__lightgbm,2,0,0.8595677333959144,0.1924302654979106
CYP1A2,ecfp4_narrow__rf+ecfp4_narrow__lightgbm,2,1,0.8618625609337308,0.18734373272776797
CYP1A2,ecfp4_narrow__rf+ecfp4_narrow__lightgbm,2,2,0.8550879906159284,0.214949942862242
CYP1A2,ecfp4_narrow__rf+ecfp4_narrow__lightgbm,2,3,0.9080686370623896,0.17528827189155494
CYP1A2,ecfp4_narrow__rf+ecfp4_narrow__lightgbm,2,4,0.8253625291142244,0.1490594200548595
CYP1A2,ecfp4_narrow__rf+ecfp4_narrow__lightgbm,3,0,0.7944582799828939,0.22990055337386375
CYP1A2,ecfp4_narrow__rf+ecfp4_narrow__lightgbm,3,1,0.8830888014490582,0.18719672749032426
CYP1A2,ecfp4_narrow__rf+ecfp4_narrow__lightgbm,3,2,0.9149382678589529,0.16568069042423578
CYP1A2,ecfp4_narrow__rf+ecfp4_narrow__lightgbm,3,3,0.8817684221083621,0.1890941751816962
CYP1A2,ecfp4_narrow__rf+ecfp4_narrow__lightgbm,3,4,0.7997014366968841,0.22077825663366848
CYP1A2,ecfp4_narrow__rf+ecfp4_narrow__lightgbm,4,0,0.849883256190929,0.19924152835251974
CYP1A2,ecfp4_narrow__rf+ecfp4_narrow__lightgbm,4,1,0.8505159558525527,0.15912861234929582
CYP1A2,ecfp4_narrow__rf+ecfp4_narrow__lightgbm,4,2,0.7973340692666527,0.23349707795995797
CYP1A2,ecfp4_narrow__rf+ecfp4_narrow__lightgbm,4,3,0.8510072466865866,0.2217268597723556
CYP1A2,ecfp4_narrow__rf+ecfp4_narrow__lightgbm,4,4,0.8629461837343464,0.22778889615749218
CYP1A2,chemeleon__rf+ecfp4_narrow__lightgbm,0,0,0.8082832972300674,0.23107172290472502
CYP1A2,chemeleon__rf+ecfp4_narrow__lightgbm,0,1,0.8645520778878114,0.17681178314233045
CYP1A2,chemeleon__rf+ecfp4_narrow__lightgbm,0,2,0.7881015206280491,0.2507215785201719
CYP1A2,chemeleon__rf+ecfp4_narrow__lightgbm,0,3,0.8652275346398388,0.2057668758432404
CYP1A2,chemeleon__rf+ecfp4_narrow__lightgbm,0,4,0.85253245968418,0.2137870987004687
CYP1A2,chemeleon__rf+ecfp4_narrow__lightgbm,1,0,0.8690620937718498,0.19902872747409017
CYP1A2,chemeleon__rf+ecfp4_narrow__lightgbm,1,1,0.8788416725902584,0.21855947574733273
CYP1A2,chemeleon__rf+ecfp4_narrow__lightgbm,1,2,0.7658072480189657,0.2441595024084229
CYP1A2,chemeleon__rf+ecfp4_narrow__lightgbm,1,3,0.8533096299436841,0.20022081915356643
CYP1A2,chemeleon__rf+ecfp4_narrow__lightgbm,1,4,0.7935522560227946,0.22464590890788275
CYP1A2,chemeleon__rf+ecfp4_narrow__lightgbm,2,0,0.8191443122127372,0.22926358434081306
CYP1A2,chemeleon__rf+ecfp4_narrow__lightgbm,2,1,0.8224673677788011,0.2424096208029465
CYP1A2,chemeleon__rf+ecfp4_narrow__lightgbm,2,2,0.8631186180867548,0.2179395900865395
CYP1A2,chemeleon__rf+ecfp4_narrow__lightgbm,2,3,0.8947048729070415,0.17645693465048287
CYP1A2,chemeleon__rf+ecfp4_narrow__lightgbm,2,4,0.8098046311880517,0.18538063568773477
CYP1A2,chemeleon__rf+ecfp4_narrow__lightgbm,3,0,0.7755674422640686,0.2631545769149243
CYP1A2,chemeleon__rf+ecfp4_narrow__lightgbm,3,1,0.8711609763735981,0.19861500185714295
CYP1A2,chemeleon__rf+ecfp4_narrow__lightgbm,3,2,0.8957832083501674,0.19295240036892944
CYP1A2,chemeleon__rf+ecfp4_narrow__lightgbm,3,3,0.8614647025609503,0.22036772787066594
CYP1A2,chemeleon__rf+ecfp4_narrow__lightgbm,3,4,0.7747138213809213,0.23984810321441918
CYP1A2,chemeleon__rf+ecfp4_narrow__lightgbm,4,0,0.8307819098899473,0.2317253285794283
CYP1A2,chemeleon__rf+ecfp4_narrow__lightgbm,4,1,0.8308015216173775,0.17465278965522166
CYP1A2,chemeleon__rf+ecfp4_narrow__lightgbm,4,2,0.795794485863557,0.22653675282831434
CYP1A2,chemeleon__rf+ecfp4_narrow__lightgbm,4,3,0.83004318565983,0.26363851386494785
CYP1A2,chemeleon__rf+ecfp4_narrow__lightgbm,4,4,0.8371050669113687,0.24129878510423183
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf+chemeleon__rf,0,0,0.7653097815655051,0.2897815049280297
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf+chemeleon__rf,0,1,0.841503748775007,0.216834986996649
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf+chemeleon__rf,0,2,0.7782266279189145,0.2815308626942813
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf+chemeleon__rf,0,3,0.7652341494966894,0.3101432767859636
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf+chemeleon__rf,0,4,0.8193021015472057,0.22381146931515403
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf+chemeleon__rf,1,0,0.8320249412145599,0.2373105783029591
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf+chemeleon__rf,1,1,0.8512910326660742,0.2502547906876208
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf+chemeleon__rf,1,2,0.7442959684151257,0.2763540191578655
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf+chemeleon__rf,1,3,0.8397667784893281,0.24127482057987915
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf+chemeleon__rf,1,4,0.8035370253307813,0.2639821170051072
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf+chemeleon__rf,2,0,0.7651500481897959,0.30044820176056997
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf+chemeleon__rf,2,1,0.7884907470077116,0.2706666281225202
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf+chemeleon__rf,2,2,0.8297639130132869,0.2833923646505009
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf+chemeleon__rf,2,3,0.8860647063599171,0.18908780110468376
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf+chemeleon__rf,2,4,0.7518257942887605,0.27054194921662555
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf+chemeleon__rf,3,0,0.7728473399537101,0.27688025133882505
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf+chemeleon__rf,3,1,0.8463910429336801,0.20582411428258623
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf+chemeleon__rf,3,2,0.839293705566411,0.2557389964029763
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf+chemeleon__rf,3,3,0.803825406701459,0.2542722779073503
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf+chemeleon__rf,3,4,0.7528005875218643,0.2731268152088631
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf+chemeleon__rf,4,0,0.8205232375991475,0.2564206039165626
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf+chemeleon__rf,4,1,0.8265984745538776,0.1654840913224946
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf+chemeleon__rf,4,2,0.778759939070446,0.26511238381742974
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf+chemeleon__rf,4,3,0.7591121347861222,0.2937934786856343
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf+chemeleon__rf,4,4,0.8258438290746495,0.27337834854080334
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf+ecfp4_narrow__lightgbm,0,0,0.7705514013859509,0.2810816360539885
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf+ecfp4_narrow__lightgbm,0,1,0.8396391322995644,0.21624359384619732
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf+ecfp4_narrow__lightgbm,0,2,0.7764216127065724,0.2782145472457084
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf+ecfp4_narrow__lightgbm,0,3,0.7771442946905611,0.28616064433249466
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf+ecfp4_narrow__lightgbm,0,4,0.82951044922343,0.21865134503424577
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf+ecfp4_narrow__lightgbm,1,0,0.8341401021088414,0.22588973353149108
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf+ecfp4_narrow__lightgbm,1,1,0.849504411324039,0.24245429405927038
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf+ecfp4_narrow__lightgbm,1,2,0.755424926644932,0.2661286361533839
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf+ecfp4_narrow__lightgbm,1,3,0.8354076351671427,0.24546894790115825
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf+ecfp4_narrow__lightgbm,1,4,0.7869693460068181,0.2742566700250153
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf+ecfp4_narrow__lightgbm,2,0,0.7981330492399051,0.276763103352929
