config,Endpoint,ST-RAE_mean,ST-RAE_ci_low,ST-RAE_ci_high,MAE_mean,MAE_ci_low,MAE_ci_high,R2_mean,R2_ci_low,R2_ci_high,Spearman_R_mean,Spearman_R_ci_low,Spearman_R_ci_high,Kendall_Tau_mean,Kendall_Tau_ci_low,Kendall_Tau_ci_high
chemeleon__xgboost,MA,0.8533327003955482,0.8110958734442298,0.8971362816082921,0.6498793202495632,0.6172841138262636,0.6835813736033144,0.18491463122477556,0.13173124326839253,0.2307821759319193,0.4259692873881237,0.37921794198762726,0.4738911615260473,0.29951452371513376,0.26516684123828804,0.3343102604116477
chemprop_multitask_chemeleoninit,CYP1A2_pIC50_direct_inhibition,0.7867923938943788,0.6929513351669869,0.8767944978563402,0.6733720289995199,0.6008969726683212,0.7472619421238267,0.24639494910725346,0.13641769854269475,0.3490160600718926,0.5063294588482189,0.40413937538116484,0.5988017354545356,0.3576991376591222,0.28205410746879545,0.4296128576777391
chemprop_multitask_chemeleoninit,CYP2C9_pIC50_direct_inhibition,0.655475893181443,0.5650994016777758,0.7497626416794458,0.5141206938966288,0.4634711184265152,0.5645835699745265,0.39300138013618036,0.2957392541503659,0.47877324020454076,0.6078707421103015,0.5230347591675752,0.6794360881843504,0.43305495562361546,0.36601190370824266,0.4913405690476969
chemprop_multitask_chemeleoninit,CYP2D6_pIC50_direct_inhibition,0.8810093600487926,0.8098731152573714,0.9579391780763065,0.565580363239278,0.500297856201271,0.6373904500599152,0.1721726863208614,0.11025668022174434,0.23182054356640772,0.42909501604372396,0.32977128662262783,0.5214597309203559,0.29444883938441574,0.22364487900171975,0.3611985624324457
chemprop_multitask_chemeleoninit,CYP3A4_pIC50_direct_inhibition,0.4784528124903652,0.4196719874040737,0.5434448417229201,0.5438905187553,0.5036594790342223,0.5835376442167223,0.5980596392586686,0.5421656017050811,0.6478276248354202,0.7885253659504171,0.7468163218661059,0.8235807703086294,0.5920395566427207,0.5526434359235982,0.6269908133051634
chemprop_multitask_chemeleoninit,MA,0.700432614903745,0.6623225675959226,0.742305100151548,0.5742409012226816,0.5442090464495355,0.603483812127107,0.35240716370574093,0.3127047196694809,0.3900458873166222,0.5829551457381653,0.543281350259828,0.6242064276760312,0.41931062232746846,0.38809070197549006,0.4502012544252821
chemprop_multitask_randominit,CYP1A2_pIC50_direct_inhibition,0.9146296537075741,0.8732500637252167,0.959060885767439,0.7433738053210217,0.665414273799639,0.8223277606496391,0.06599633159420355,0.030166232622771925,0.09321715222759015,0.40899186388380954,0.29910392746964726,0.513005495380322,0.2865091257208216,0.2075935956886845,0.35844672153595003
chemprop_multitask_randominit,CYP2C9_pIC50_direct_inhibition,0.9172125535253698,0.8649777706975788,0.9768281058083697,0.6295063893342348,0.5639441581542614,0.6921072655279356,0.10115930694980221,0.06490043219412792,0.13743169379688921,0.3975165229502917,0.29608292759481875,0.49875100490649854,0.27512095609201154,0.2031181636633136,0.3499763589037367
chemprop_multitask_randominit,CYP2D6_pIC50_direct_inhibition,0.9771747696375599,0.9553191988980649,1.0063439546537434,0.6125053615588982,0.5382036291524577,0.6884351781393221,0.030930893187788043,0.013714559981294056,0.04621534870028995,0.275474022513111,0.17203362566907998,0.3742787460945423,0.18520585113066929,0.11456412386221257,0.2503345702112442
chemprop_multitask_randominit,CYP3A4_pIC50_direct_inhibition,0.8944735968128916,0.8534605800536796,0.9406627122227683,0.8479616086468156,0.7912004996023889,0.9015665255116667,0.12967825934825197,0.1047279619166903,0.1539842920531525,0.5301635909305304,0.45547862050435106,0.6001885326783241,0.3721076776716185,0.31769477121844086,0.42426533933801513
