n_components,explained_variance_ratio,cumulative_explained_variance
199,0.0002637381752722175,0.9804947240305244
200,0.0002582410887714606,0.9807529651192959
201,0.00025226209468994144,0.9810052272139859
202,0.00024900753233203125,0.9812542347463179
203,0.0002432348445902581,0.9814974695909081
204,0.0002422148313735106,0.9817396844222817
205,0.00024008956928771248,0.9819797739915693
206,0.00023678394558608097,0.9822165579371555
207,0.00023069358539777626,0.9824472515225532
208,0.00022779294800350238,0.9826750444705566
209,0.0002259505261644752,0.9829009949967211
210,0.00022504956084865878,0.9831260445575698
211,0.00021954956023839735,0.9833455941178082
212,0.00021861718966687782,0.9835642113074751
213,0.00021044617884602345,0.9837746574863211
214,0.00020858637420484457,0.9839832438605259
215,0.00020534157484957105,0.9841885854353755
216,0.0002038477007159896,0.9843924331360915
217,0.00020193032383296073,0.9845943634599245
218,0.00019902461779203775,0.9847933880777165
219,0.0001962219923169862,0.9849896100700335
220,0.00019251196725016787,0.9851821220372836
221,0.00018876237388113052,0.9853708844111647
222,0.00018705310757939815,0.9855579375187441
223,0.0001859668294127228,0.9857439043481568
224,0.00018098913555149467,0.9859248934837084
225,0.0001785069821035705,0.9861034004658119
226,0.00017747181975013763,0.986280872285562
227,0.00017113769192946904,0.9864520099774915
228,0.00017089985009186847,0.9866229098275834
229,0.00017027743545699588,0.9867931872630403
230,0.0001664732196373307,0.9869596604826777
231,0.0001642682569168973,0.9871239287395945
232,0.00016267380357652824,0.987286602543171
233,0.00016145514499785974,0.9874480576881689
234,0.00015845460213193284,0.9876065122903008
235,0.00015468042311053774,0.9877611927134113
236,0.00015459251184519042,0.9879157852252566
237,0.0001516054919185205,0.9880673907171751
238,0.00014924054387743498,0.9882166312610525
239,0.0001476222434325796,0.9883642535044851
240,0.00014556888780945098,0.9885098223922946
241,0.00014089222038747996,0.9886507146126821
242,0.0001384234824701682,0.9887891380951522
243,0.0001358327680106458,0.9889249708631629
244,0.00013326112611453263,0.9890582319892774
245,0.00013196516484798636,0.9891901971541255
246,0.00013113885412946663,0.989321336008255
247,0.00012930987469426358,0.9894506458829493
248,0.0001283000525088432,0.9895789459354581
249,0.0001259885249199252,0.9897049344603781
250,0.00012428980505885297,0.989829224265437
251,0.00012294649528955378,0.9899521707607265
252,0.00012228909218898679,0.9900744598529155
253,0.00012027760119610466,0.9901947374541117
254,0.00011833476541701629,0.9903130722195287
255,0.00011583591810122237,0.99042890813763
256,0.00011569113336320316,0.9905445992709931
257,0.00011319517884656369,0.9906577944498397
258,0.00011077454567950089,0.9907685689955192
259,0.00010972284485144952,0.9908782918403707
260,0.00010887396196916046,0.9909871658023398
261,0.00010541880345482001,0.9910925846057946
262,0.00010420035593893448,0.9911967849617336
263,0.00010343252436659617,0.9913002174861002
264,0.00010271990713012672,0.9914029373932304
265,0.00010074745543205176,0.9915036848486625
266,0.000100005985951311,0.9916036908346137
267,9.898499933747672e-05,0.9917026758339512
268,9.731188817234122e-05,0.9917999877221235
269,9.701125508223074e-05,0.9918969989772057
270,9.42974611502602e-05,0.991991296438356
271,9.342807835287371e-05,0.9920847245167089
272,9.225606854940802e-05,0.9921769805852584
273,9.127795702056962e-05,0.992268258542279
274,8.96888139321078e-05,0.9923579473562111
275,8.907887495622594e-05,0.9924470262311673
276,8.81247843747227e-05,0.992535151015542
277,8.687681756267397e-05,0.9926220278331047
278,8.623734232013222e-05,0.9927082651754249
279,8.437201110700072e-05,0.9927926371865319
280,8.360262175092149e-05,0.9928762398082828
281,8.199316366906372e-05,0.9929582329719518
282,8.180796362941488e-05,0.9930400409355813
283,8.138092262050992e-05,0.9931214218582018
284,7.99717347539363e-05,0.9932013935929558
285,7.908186782050573e-05,0.9932804754607762
286,7.750128643692025e-05,0.9933579767472132
287,7.667541815033254e-05,0.9934346521653635
288,7.621462320250144e-05,0.993510866788566
289,7.537301264580668e-05,0.9935862398012119
290,7.475369226247862e-05,0.9936609934934744
291,7.38984898410162e-05,0.9937348919833153
292,7.253281727411057e-05,0.9938074248005895
293,7.150723745431846e-05,0.9938789320380438
294,7.100722084653151e-05,0.9939499392588903
