config,repeat,fold,bootstrap_seed,CYP1A2_ST-RAE,CYP1A2_MAE,CYP1A2_R2,CYP1A2_Spearman_R,CYP1A2_Kendall_Tau,CYP2C9_ST-RAE,CYP2C9_MAE,CYP2C9_R2,CYP2C9_Spearman_R,CYP2C9_Kendall_Tau,CYP2D6_ST-RAE,CYP2D6_MAE,CYP2D6_R2,CYP2D6_Spearman_R,CYP2D6_Kendall_Tau,CYP3A4_ST-RAE,CYP3A4_MAE,CYP3A4_R2,CYP3A4_Spearman_R,CYP3A4_Kendall_Tau,MA_ST-RAE,MA_MAE,MA_R2,MA_Spearman_R,MA_Kendall_Tau
mordred_pca__lightgbm,4,3,609942288,0.9368182139812803,0.7102297434182832,0.12829373548072365,0.2976424763498934,0.20537883715140695,0.8919189296661519,0.5470765986488315,0.12466733433318146,0.3853855478911107,0.2630085282083522,0.9920673209795735,0.5805225099255718,0.0525891468973683,0.31878231474195884,0.213624399588587,0.7329755986498728,0.6946959403294374,0.3516311583691187,0.571545969018825,0.40651213207804576,0.8884450158192196,0.6331311980805309,0.16429534377009802,0.393339077000447,0.272130974256598
mordred_pca__lightgbm,4,4,3405943863,0.9246182482661065,0.6609755912686281,0.1482346901976752,0.37799026833070715,0.2559663659506586,0.9516513387753485,0.58924889925491,0.08854256971837372,0.31301242832360876,0.21396428620483326,1.0310649883813956,0.6748623464695673,0.011368199584480647,0.1731908280398321,0.11683756463670199,0.6616451296707956,0.6766680254566597,0.39096884948611915,0.6284830614280669,0.4489033864237434,0.8922449262734115,0.6504387156124413,0.15977857724666217,0.3731691465305537,0.2589179008039843
mordred_pca__rf,0,0,2684470948,0.904571963527827,0.7349974208283062,0.13839376006104862,0.37722775385591745,0.25610494699949193,0.8954400119614111,0.6162416260487631,0.15124452823490211,0.37108316096639177,0.25427241863531924,0.9776358550859316,0.610094272687752,0.07067718915301129,0.2794968215709309,0.19229533463827092,0.7393143125789968,0.7269775585491074,0.32915626994647906,0.6163578778454498,0.43581602740412645,0.8792405357885416,0.6720777195284822,0.1723679368488603,0.4110414035596725,0.2846221819193021
mordred_pca__rf,0,1,4091952314,0.9726145487375594,0.6879321187541746,0.06798669718608995,0.3155220231354589,0.21610583789117385,0.7992088496830868,0.4981914646121602,0.2035188323601926,0.4461380508445937,0.31389724370577843,0.9850218090923498,0.6388514400564778,0.07206577578798515,0.2778147598773908,0.18848115730561413,0.7255668695738519,0.6964390721906141,0.3378224595087057,0.600271524878245,0.4307341686619658,0.870603019271712,0.6303535239033566,0.17034844121074336,0.4099365896839221,0.287304601891133
mordred_pca__rf,0,2,233227757,0.9464100736697997,0.7732414955395615,0.11092649451023931,0.33245503424349804,0.22431316390570646,0.9518174211447925,0.5371491956388389,0.0772237782483347,0.29223473247098375,0.19937823860157572,0.99582657976911,0.5870757007605153,0.06204366323867613,0.2577558118251988,0.17496913098883246,0.7487710735619405,0.6985142027332274,0.27153759132589733,0.5402944181965322,0.3809540456131437,0.9107062870364107,0.6489951486680358,0.13043288183078686,0.3556849991840532,0.24490364477731458
mordred_pca__rf,0,3,3276785861,0.9121022962768494,0.648577753794161,0.19814905977455363,0.43545942390671627,0.30094772916939355,0.8240658380440529,0.5581393610391255,0.20372762455598878,0.44251586432539936,0.3010469398486147,0.9459805136156983,0.6476948114688532,0.08521065397491137,0.32487833891198126,0.22131631456371217,0.7461049883658001,0.7559567878308984,0.3179430752273157,0.5830933690477129,0.4143972941239584,0.8570634090756001,0.6525921785332596,0.20125760338319237,0.44648674904795244,0.30942706942641973
mordred_pca__rf,0,4,3644269654,0.9745037577199971,0.736459152123029,0.10571104703454799,0.37059333480906465,0.25604417134456603,0.9217950101757775,0.5420337799409173,0.12599565714421235,0.3417862592109088,0.23534693298617337,1.0257642857990104,0.6393415339419589,0.04603960680747096,0.23639786809842595,0.15988938511854855,0.712984785764595,0.7377799210888002,0.3258428741843206,0.5914477571845869,0.42008246298143687,0.9087619598648451,0.6639035967736763,0.15089729629263798,0.38505630482574654,0.2678407381076812
mordred_pca__rf,1,0,1206282609,1.0165328920744625,0.7048680624829182,0.0794691397915847,0.2762162323163672,0.18447880581100773,0.8175311480024134,0.5599663792221097,0.15428328800444258,0.4377213774201706,0.3034273109071446,0.9778744201341802,0.6811109109013143,0.09194290370382081,0.30833631890043445,0.21225950867507917,0.6697067567193258,0.698286169808129,0.32756665298092263,0.6075683055960556,0.4298417704358705,0.8704113042325955,0.6610578806036178,0.16331549612019267,0.4074605585582569,0.28250184895727554
mordred_pca__rf,1,1,3543069911,0.9587066726240393,0.7595690802869277,0.11857939020311822,0.3777751796468689,0.2535001465395369,0.8488594552503489,0.5491726787855032,0.17640073128929104,0.397098150771022,0.2758867280949572,0.982155521505005,0.5874787778823183,0.07791725315277413,0.27636845500636986,0.1860292713174352,0.694096195665642,0.6800901265862994,0.37166180548342054,0.641289066948771,0.46015046812529226,0.8709544612612587,0.6440776658852622,0.18613979503215097,0.42313271309325795,0.2938916535193054
mordred_pca__rf,1,2,3479688010,0.8807978871597734,0.7329579497582942,0.13234733160036746,0.38064131306599225,0.2555127572288958,0.869291550200913,0.5824567415695092,0.1760669872150164,0.4158260626675462,0.2883962338198931,0.9940305438974041,0.6001879351711493,0.06978256321980647,0.29501812368143204,0.20022704679687298,0.7240593330405872,0.7703518185596586,0.2951786921418823,0.5802685167640715,0.4199309716424061,0.8670448285746694,0.6714886112646529,0.16834389354426815,0.4179385040447605,0.291016752372017
mordred_pca__rf,1,3,877132087,0.9920209867513277,0.7037188076130649,0.11770079006236643,0.3501019250724148,0.23852103075266387,0.9120147982749266,0.5281986053499599,0.14648631748630483,0.38362504394952257,0.2631466493390466,0.9761004743073055,0.645257065799815,0.06090390892366088,0.259191311795741,0.17243268008114956,0.7689742944084998,0.6888210948323873,0.3512944409030275,0.5970765244598175,0.4241865838954185,0.912277638435515,0.6414988933988067,0.16909636434383993,0.397498701319374,0.2745717360170697
mordred_pca__rf,1,4,1244265337,0.8858156866505357,0.6959894057899515,0.14853371122962786,0.3921217495385,0.2757632078224475,0.8529005547534279,0.48764777131469306,0.1808960563224887,0.4279692349223131,0.30189371956520533,1.03133614164986,0.6246783427928394,0.009925199668588654,0.2844808061690707,0.18716468755930527,0.7633649801821858,0.7341052753124443,0.29834410070574563,0.5620936009142328,0.3976796170412905,0.8833543408090023,0.635605198802482,0.15942476698161273,0.41666634788602913,0.29062530799706215
mordred_pca__rf,2,0,2740186692,0.8851539617148237,0.6835925219072161,0.16705939547542092,0.41376596350229644,0.28633787006524414,0.8948085608809562,0.5096371142509999,0.1346637516108752,0.36630573955496415,0.2589358539339785,0.9942890498823951,0.5925046561627709,0.04004348425718262,0.280429740283524,0.1902123297876896,0.7524420105610985,0.7263402037886287,0.3274225195781204,0.5763843416776843,0.409373419614933,0.8816733957598184,0.6280186240274039,0.16729728773039979,0.4092214462546172,0.2862148683504613
mordred_pca__rf,2,1,3884972972,0.9289431698910328,0.6795459771276057,0.1296473027106363,0.372997350703342,0.2517062932637156,0.8290931323296589,0.5532741060687384,0.2021466473188996,0.48416508135403497,0.3362099030646407,1.0022221264398032,0.6662602655175446,0.033181941739431654,0.2287402278772471,0.15304186543032616,0.7320512353811014,0.7270828670134863,0.31391318498390813,0.6024901736483519,0.42576904298798535,0.8730774160103991,0.6565408039318437,0.16972226918821892,0.42209820839574397,0.29168177618666696
mordred_pca__rf,2,2,829139639,1.008050248326631,0.7616784507658728,0.11253983596610385,0.32568445876596963,0.22099950939444163,0.8133670011220939,0.5302538024762911,0.1830444503949467,0.46448915135931607,0.3278593430485129,0.9836986303640007,0.6637282515823348,0.084108827330291,0.3088254143614392,0.2105820149645452,0.7334729081890395,0.7114305768781521,0.3343251616852023,0.5992881921813656,0.421616228748612,0.8846471970004414,0.6667727704256627,0.17850456884413599,0.4245718041670226,0.29526427403902794
mordred_pca__rf,2,3,2545567356,1.0146229782015899,0.7190818648468559,0.059024167792251045,0.3108224021183408,0.2084743598116103,0.8748134952466087,0.531007048300483,0.19003548788203362,0.4050617790975175,0.2812572079972355,0.9817872338409395,0.6232473694514552,0.058224461376875626,0.24809766256554658,0.16825667979094497,0.7055465096332367,0.6964767959180447,0.34670384972458607,0.6032876524779848,0.42974242422659836,0.8941925542305937,0.6424532696292097,0.16349699169393656,0.3918173740648474,0.2719326679565973
mordred_pca__rf,2,4,2718398101,0.8776644717539316,0.7532131134717889,0.14193935226697696,0.36761684069462736,0.2524010340057447,0.8515442345741921,0.5689304302285924,0.18987950035421053,0.4328099835700455,0.29946808452823764,1.004247803342651,0.5938619766848927,0.04595893616782591,0.24051873367400078,0.16123331949181802,0.7688477963007232,0.7472338172492361,0.28056334023032503,0.5507916403471322,0.3852476304513429,0.8755760764928745,0.6658098344086276,0.1645852822548346,0.39793429957145143,0.2745875171192858
