config,repeat,fold,bootstrap_seed,CYP1A2_ST-RAE,CYP1A2_MAE,CYP1A2_R2,CYP1A2_Spearman_R,CYP1A2_Kendall_Tau,CYP2C9_ST-RAE,CYP2C9_MAE,CYP2C9_R2,CYP2C9_Spearman_R,CYP2C9_Kendall_Tau,CYP2D6_ST-RAE,CYP2D6_MAE,CYP2D6_R2,CYP2D6_Spearman_R,CYP2D6_Kendall_Tau,CYP3A4_ST-RAE,CYP3A4_MAE,CYP3A4_R2,CYP3A4_Spearman_R,CYP3A4_Kendall_Tau,MA_ST-RAE,MA_MAE,MA_R2,MA_Spearman_R,MA_Kendall_Tau
chemprop_chemeleoninit,2,4,2718398101,0.8181888141638196,0.6854075425855458,0.23712303760765646,0.5068410438156088,0.3527508129527463,0.5714456427510906,0.43111561679707394,0.49501566296234945,0.7082015820235021,0.5233817370098574,0.9764575566538247,0.5950221934183165,0.13949278783635694,0.4033927035311614,0.2785619443809108,0.5031688004932852,0.5297002940644702,0.5787257152376382,0.7678006352204744,0.5797661105066415,0.717315203515505,0.5603114117163516,0.3625893009110002,0.5965589911476867,0.43361515121253896
chemprop_chemeleoninit,3,0,176092387,0.8590201705605038,0.6910633425646595,0.219969528504655,0.48714074732199386,0.34322407008208133,0.7298815859454155,0.4545549489555537,0.3281030924827401,0.564926766925573,0.40122608238076407,0.9891677162579477,0.6194911411640742,0.04773827620125899,0.40122326641514067,0.27650032560990373,0.6926650367779075,0.6012761773371955,0.39439495980607814,0.7082139541027223,0.520157799260494,0.8176836273854436,0.5915964025053707,0.24755146424868307,0.5403761836913575,0.3852770693333108
chemprop_chemeleoninit,3,1,3528048386,0.8194807422809859,0.679662719457303,0.27534438148042817,0.509323067263722,0.35740739123029386,0.5955882443894905,0.4799413381430297,0.4194656174661123,0.6511714422734803,0.4752548997011553,1.0639075231696349,0.6424855015050294,0.014328638211154834,0.31260060121154454,0.20872576429403825,0.5546875086953759,0.5645808340553308,0.5617547632889173,0.7511192419119113,0.5597287654117404,0.7584160046338718,0.5916675982901732,0.31772335011165315,0.5560535881651646,0.400279205159307
chemprop_chemeleoninit,3,2,569531098,0.7957004618332197,0.5950823604452693,0.30415941191096363,0.5499324056654498,0.38475265099806755,0.710394254611036,0.5024363909703135,0.2706396787667547,0.5967568537878025,0.4286034230691988,0.9918552229786044,0.6086394542213334,0.09646955883152236,0.3411147235642196,0.22789699017790005,0.5439221890309087,0.6103619011950411,0.5343764443569444,0.7447986750332195,0.5447867468175198,0.7604680321134422,0.5791300267079893,0.3014112734665463,0.5581506645126728,0.3965099527656715
chemprop_chemeleoninit,3,3,1337295874,0.840018361384401,0.6804300714678402,0.18959026377880686,0.460572500780289,0.3188099452361343,0.7023586006991849,0.4799842988920173,0.3608766554443259,0.5749968883380344,0.4130951211701749,0.9487296785791326,0.5770220320157925,0.10894247850254896,0.3464444863951587,0.23504535574038926,0.49222097840010565,0.5998823092463809,0.5154126793703347,0.7586504969200679,0.5642366969604504,0.745831904765706,0.5843296779055077,0.2937055192740041,0.5351660931083875,0.3827967797767872
chemprop_chemeleoninit,3,4,612016888,0.8342167300215044,0.6486055756214083,0.29298458468110333,0.49210492417004154,0.3463262916820292,0.5988698508165748,0.42733509390774504,0.47594490739961137,0.6779222896197189,0.49215696665447056,0.8882267565852867,0.6393338418373554,0.18481284128076542,0.4552522890523528,0.314198288977097,0.5609813107956256,0.5658635462843022,0.5593876124925183,0.7457267498060124,0.5572864340750571,0.7205736620547479,0.5702845144127027,0.3782824864634996,0.5927515631620314,0.4274919953471634
chemprop_chemeleoninit,4,0,232150720,0.8854161704927538,0.636958503041959,0.21724609087099161,0.5293163711193588,0.3722410907769116,0.6757599860572712,0.45547888868436803,0.3479104223781664,0.6391700319655861,0.46251431728884557,1.0217392541883075,0.6190635474294983,0.04332994291851395,0.3792612899335224,0.2614559150292326,0.5730745523730184,0.5250629305361367,0.5814318044287804,0.7552105391729353,0.5642257970431463,0.7889974907778377,0.5591409674229905,0.2974795651491131,0.5757395580478507,0.415109280034534
chemprop_chemeleoninit,4,1,2324106676,0.958599687921344,0.6978892821186883,0.2145264138722985,0.4663087463557849,0.32286980406058835,0.6041521001803564,0.4411220685917623,0.47583365701748115,0.6665651625905258,0.4809692424782473,0.9213849994791399,0.626060630381986,0.148535956233577,0.43086956529967546,0.29175126286435205,0.5394434660336459,0.581089238001542,0.5250640804851248,0.7335138830427661,0.5394428813347057,0.7558950634036216,0.5865403047734946,0.3409900269021203,0.5743143393221881,0.40875829768447336
chemprop_chemeleoninit,4,2,1658700540,0.8383816692738544,0.6436016347522837,0.25285729918135724,0.4941658639627503,0.3465142010650249,0.5950399248659115,0.5072940040940971,0.5012346253607294,0.6705512365623586,0.4891194475389352,1.010188835434607,0.6443142759216126,0.1247335705943502,0.43448873585260944,0.3020422841192632,0.570583104183343,0.5446867224841925,0.5677219560089735,0.7577245487064819,0.5590245468273514,0.753548383439429,0.5849741593130464,0.3616368627863526,0.5892325962710501,0.42417511988764367
chemprop_chemeleoninit,4,3,609942288,0.8412059152874807,0.6572192741228582,0.2824350146537206,0.5540576544362532,0.3872523693404665,0.7040162227663938,0.4522560967529303,0.35282247835614666,0.6297231842077963,0.45447925715976206,0.9879930700817116,0.6207711314696657,0.1082560566583272,0.40506080342505807,0.27510978901552763,0.4825586766680787,0.5516246640901319,0.6078445285227099,0.7744980477062507,0.5794560212890422,0.7539434712009162,0.5704677916088965,0.33783951954772606,0.5908349224438395,0.42407435920119957
chemprop_chemeleoninit,4,4,3405943863,0.8350269651572628,0.712407780850072,0.289004168513631,0.5320111094107132,0.37354643991364433,0.8233244949726425,0.44524390441807654,0.35240484887131623,0.6189288065188767,0.44791625984084393,1.060213201473932,0.6190730524659873,-0.011201959022053168,0.3358477896536138,0.2268627886850934,0.5892104358880059,0.5819887461564359,0.5574419038263412,0.7578937474949398,0.57357886505699,0.8269437743729607,0.589678370972643,0.2969122405473088,0.5611703632695358,0.4054760883741429
