repeat,fold,arm,seed,Endpoint,ST-RAE,MAE,R2,Spearman_R,Kendall_Tau
0,3,aid,3276785861,CYP2C9_pIC50_direct_inhibition,0.6304809006325869,0.4615668091114877,0.5026368775726583,0.6997575509107017,0.5126637009471506
0,3,aid,3276785861,CYP2D6_pIC50_direct_inhibition,0.9700961670592896,0.6564742469453827,0.0555391390802931,0.3980282567989561,0.273116149012463
0,3,aid,3276785861,CYP3A4_pIC50_direct_inhibition,0.4421168988714838,0.5135696693608868,0.6508225935032685,0.8118583946628004,0.6207442711909488
0,3,aid,3276785861,MA,0.7229582078463752,0.5603102455560441,0.3839715042661769,0.6329134112590881,0.4616678359624442
0,3,baseline,3276785861,CYP1A2_pIC50_direct_inhibition,0.7832492684117721,0.5854806248047706,0.3119183627333221,0.5728676474398885,0.4056854325479541
0,3,baseline,3276785861,CYP2C9_pIC50_direct_inhibition,0.6215620185118855,0.4778788849817827,0.4244953911060561,0.6803525108137155,0.5004459859041317
0,3,baseline,3276785861,CYP2D6_pIC50_direct_inhibition,1.0446124963248895,0.6897501934888425,0.0536586159544433,0.3883398362226561,0.2680109689761922
0,3,baseline,3276785861,CYP3A4_pIC50_direct_inhibition,0.4780603235397567,0.5490096173896517,0.5871971697816173,0.7772971534839227,0.5870184374928648
0,3,baseline,3276785861,MA,0.731871026697076,0.5755298301662619,0.3443173848938597,0.6047142869900457,0.4402902062302857
0,4,aid,3644269654,CYP1A2_pIC50_direct_inhibition,0.9003136732101732,0.6881517638859425,0.2060225243916361,0.5139342327707564,0.359860107917245
0,4,aid,3644269654,CYP2C9_pIC50_direct_inhibition,0.6566071053820824,0.4398728893683051,0.4390392590817287,0.6233481507452434,0.4558269623457272
0,4,aid,3644269654,CYP2D6_pIC50_direct_inhibition,0.930715457848587,0.6022388940783759,0.1717012626503284,0.466229471228858,0.3246201685108426
0,4,aid,3644269654,CYP3A4_pIC50_direct_inhibition,0.546114942579331,0.5494685974454927,0.5759094397962747,0.7644972437489729,0.575022144507454
0,4,aid,3644269654,MA,0.7584377947550434,0.5699330361945291,0.348168121479992,0.5920022746234577,0.4288323458203172
0,4,baseline,3644269654,CYP1A2_pIC50_direct_inhibition,0.8891741613388273,0.6949889165505574,0.1481149889202636,0.4665232196101207,0.3271863718323515
0,4,baseline,3644269654,CYP2C9_pIC50_direct_inhibition,0.6779990832359799,0.4469231040767684,0.3966628364838909,0.6145530287585081,0.4435459907136685
0,4,baseline,3644269654,CYP2D6_pIC50_direct_inhibition,1.0637585930632911,0.6451740472213829,0.05992651648964,0.3789589637776269,0.2559714571145525
