config,repeat,fold,bootstrap_seed,CYP1A2_ST-RAE,CYP1A2_MAE,CYP1A2_R2,CYP1A2_Spearman_R,CYP1A2_Kendall_Tau,CYP3A4_ST-RAE,CYP3A4_MAE,CYP3A4_R2,CYP3A4_Spearman_R,CYP3A4_Kendall_Tau
chemeleon__lightgbm,2,4,2718398101,0.9254070248141636,0.7449248519498709,0.1304880181128312,0.3574334174678981,0.24239348476081365,0.635667866857515,0.6139079558131761,0.4772230797526435,0.6978316233259574,0.5090496532681059
chemeleon__lightgbm,3,0,176092387,0.8473665687531526,0.6929409162005065,0.15828125073921193,0.43445589639267673,0.30450724499468484,0.6715524757625506,0.6082202234753489,0.4221296957120603,0.6561501236296667,0.472941707020233
chemeleon__lightgbm,3,1,3528048386,0.9586981089333824,0.7582576064930825,0.08515831270870299,0.2973392925490551,0.2001809323467305,0.6656723765880507,0.6010204456301041,0.48150371151011834,0.6753381209738133,0.49368346634963123
chemeleon__lightgbm,3,2,569531098,0.8905311442252853,0.6322437013466886,0.20579467538692434,0.43183427038984695,0.29911446112437423,0.6223071600083453,0.6423848355318938,0.4821037462689256,0.6842613843904682,0.496100026772324
chemeleon__lightgbm,3,3,1337295874,0.9339410831520941,0.7359660883988068,0.08401186654344286,0.3603800104997008,0.24789145466306212,0.6349924594030529,0.656368049585604,0.44230448558094854,0.661566038952658,0.47573953777713224
chemeleon__lightgbm,3,4,612016888,0.8831675459588959,0.6736201788806682,0.2041699493533283,0.44674766773347035,0.30691289980161846,0.6213181334349748,0.5941326943215913,0.5088707331619369,0.7118731200645156,0.5239824603791369
chemeleon__lightgbm,4,0,232150720,0.8838148694171158,0.6469280164785352,0.19935634026467564,0.4427355919607454,0.3022100727934822,0.69443469403801,0.6194384419899049,0.4331775148012338,0.6387189983978824,0.4583647913226088
chemeleon__lightgbm,4,1,2324106676,0.9500281220943929,0.7017116329563283,0.10459365981351733,0.35900679236354344,0.24686430725145275,0.6588508560254244,0.6277246498945328,0.4555475886717857,0.6580197395394417,0.47452192456790904
chemeleon__lightgbm,4,2,1658700540,0.9114374441845333,0.6942099696523871,0.1337964990444646,0.3612425963325055,0.24948283507899927,0.6542144860798239,0.6070773301721001,0.4643923084569844,0.681095821976607,0.4937690395087216
chemeleon__lightgbm,4,3,609942288,0.8725474891619879,0.6744508096300187,0.21486115362823321,0.49189382977685425,0.3390372210102448,0.6007380809964886,0.664539835249595,0.4586131048946247,0.681799942689697,0.4920087213844458
chemeleon__lightgbm,4,4,3405943863,0.8629357353896984,0.7348636150470605,0.18372231130472308,0.41922732145556146,0.286772548437662,0.6531609976445143,0.6476210523567283,0.4392693383294355,0.6587208576204043,0.4776598600010706
chemeleon__rf,0,0,2684470948,0.9208840545057296,0.6530390215977104,0.1261622339861193,0.3656995076879961,0.25515181069264237,0.6607644831868833,0.695445076005759,0.41448086794775874,0.6536669353408464,0.468379599745445
chemeleon__rf,0,1,4091952314,0.7853856871005094,0.6775006963286796,0.24753780498834635,0.5028114294325027,0.34918390467359145,0.6130684005161303,0.5922422632591835,0.49508577416120353,0.6876505008727901,0.501146276346621
chemeleon__rf,0,2,233227757,0.8341375371127193,0.6559657478788484,0.19825033665957056,0.4258097843651553,0.29660856203509617,0.7237257024669537,0.6536746726941369,0.3876431984247162,0.6200636187766991,0.44078497650894743
chemeleon__rf,0,3,3276785861,1.0878096879189256,0.7351318740182554,0.06438027426171432,0.3602635786175649,0.2451389850587297,0.7236402357581309,0.7025168339185445,0.36894191183305164,0.6210436243145196,0.4462670727067664
chemeleon__rf,0,4,3644269654,0.8041806793045678,0.7010663603467976,0.22085762718070598,0.48152449491223215,0.3418760892720102,0.6785133966928568,0.6957298192297422,0.40955420187847663,0.6368179562142129,0.4575514278885814
chemeleon__rf,1,0,1206282609,0.8384236412731991,0.6946783158003721,0.24538789837378486,0.5513297453161045,0.3851128180564758,0.7181720864009835,0.6699862285028465,0.4010120790284236,0.6220924322916949,0.4443085715005395
chemeleon__rf,1,1,3543069911,0.8680470952522515,0.7327975283096038,0.19593329895842965,0.4387005137152542,0.3068456933736416,0.7275098111064475,0.7369288694619581,0.36276119730374695,0.5920687683936049,0.42013755865109764
chemeleon__rf,1,2,3479688010,0.8978150085582333,0.6353266728892359,0.11777344903581158,0.34941319609318544,0.24207304073753044,0.672494910446771,0.6564336936065491,0.4373178475926015,0.6600615794237379,0.4787868911749774
chemeleon__rf,1,3,877132087,0.8850260571312958,0.6718071745373295,0.1405022011292558,0.38026979023252955,0.2583892408525203,0.6855605179371581,0.6271703707258588,0.4099905456122955,0.6409911952360791,0.4571466667204691
chemeleon__rf,1,4,1244265337,0.8741504233165072,0.6585990319050875,0.20879469540251264,0.46580734954218317,0.32546931389781375,0.6279321896151749,0.672582246383296,0.4109587539027762,0.6737614122037826,0.4851577794282518
chemeleon__rf,2,0,2740186692,0.9169659659137153,0.665195866245695,0.17740767058056445,0.42238843195684594,0.29064399048060546,0.681779262812168,0.6510835645240995,0.4013171985294424,0.6217546853759651,0.44763082027459733
chemeleon__rf,2,1,3884972972,0.8071667444424991,0.6998188513235318,0.1951466802967146,0.48637783807484397,0.3412421987805205,0.682285226521725,0.6842425467757993,0.40903197067626784,0.6365404991664857,0.4530766030723507
chemeleon__rf,2,2,829139639,0.8678914407955186,0.6623481402628006,0.21213412643914406,0.4376295932292318,0.30157831657397094,0.7328545184020329,0.6555114245310564,0.3846492347968548,0.6073399272856069,0.4341770925751372
chemeleon__rf,2,3,2545567356,0.9183377713561026,0.6797219313957997,0.18453999823331102,0.43395951510010655,0.2993705626736632,0.6659418334607371,0.6901452733830399,0.41235039979575716,0.6499311531485124,0.4640161826254574
chemeleon__rf,2,4,2718398101,0.8871172925717382,0.7278931052714415,0.1363065179808247,0.3714444112085241,0.2566919456285992,0.685011762477732,0.6699105501813368,0.40655694258660185,0.6470138239754089,0.46313251695358715
chemeleon__rf,3,0,176092387,0.7910883094814973,0.6685793311661498,0.21188674798345594,0.4804026649434476,0.3428503911213094,0.70119401198478,0.640587101007902,0.3832917928532802,0.6171805695090111,0.44190519034503345
chemeleon__rf,3,1,3528048386,0.88177660026565,0.7186303451982637,0.2052609826877114,0.4478314808222152,0.3124797170721475,0.7040879557897959,0.6404266969368335,0.4298543578035603,0.6288547311963546,0.45158512702013265
chemeleon__rf,3,2,569531098,0.8704103993348445,0.6283246095731994,0.19495338386542138,0.4245216829710182,0.29593154699554286,0.6609567300095341,0.6932347607971021,0.4153991771894288,0.650381155719827,0.4651276142020492
chemeleon__rf,3,3,1337295874,0.9365111678816105,0.7325048276348785,0.09676943639812433,0.38334556603542363,0.2591769376667774,0.6382713303278748,0.685392393410052,0.40269678217867744,0.6492713155870103,0.4691232296379637
chemeleon__rf,3,4,612016888,0.9131101376969999,0.6860049687635074,0.19805815537914406,0.4147856845075549,0.28523389071836885,0.7071929021357001,0.6647322248219534,0.3983672323431481,0.6301275446445392,0.4517387190566408
chemeleon__rf,4,0,232150720,0.8504392191520418,0.6273142564700706,0.1990468166494635,0.4647650385172119,0.3236711449975094,0.7393468955611454,0.6542393377568501,0.37544472394489514,0.5872209745011164,0.41786596601596926
chemeleon__rf,4,1,2324106676,0.9520563757158456,0.7068973952333948,0.14032715599419704,0.3555735281635626,0.24067207161108858,0.6646453592507587,0.655179404803267,0.4246831865939352,0.6396092085296264,0.45708235436915995
chemeleon__rf,4,2,1658700540,0.8866387006880978,0.6878039633932587,0.15778341729212444,0.3740700231764598,0.26343494227094716,0.6731899773829272,0.625734852623903,0.44511607955708365,0.689856166745163,0.5026957290495427
chemeleon__rf,4,3,609942288,0.8616437182207287,0.6731392036574717,0.21955704361864298,0.505888875010677,0.3494140819174998,0.6602856756199894,0.7091192906480993,0.40237318816896533,0.6415515133037017,0.45919524284340685
chemeleon__rf,4,4,3405943863,0.8469058841867496,0.7314899080813665,0.19701272268768955,0.44998276568581586,0.31265895991349013,0.6928828581154924,0.6943092131994973,0.3908178026937485,0.6273020954777235,0.4481658233812353
chemprop_randominit,0,0,2684470948,1.0673870859813694,0.7137209652062817,0.04574271443047153,0.3404937413351501,0.236632039553366,0.6082132468616567,0.6251764554602084,0.4241169766898286,0.7207629336511299,0.5270979726148816
chemprop_randominit,0,1,4091952314,0.8011664294355982,0.6672801293851257,0.2839768405002878,0.5309056683077749,0.3675914624841464,0.6037144344220342,0.5522482579557316,0.5540238114933381,0.706642849738371,0.5196151936326819
chemprop_randominit,0,2,233227757,0.8416926652247624,0.6620003128610666,0.22082763540652675,0.48215015046757903,0.3411766618449862,0.6162614988919861,0.5838586957348549,0.4644085556167022,0.7113606856645301,0.5259856526350228
chemprop_randominit,0,3,3276785861,1.2512316877127054,0.802910793912386,-0.03673160592906556,0.4577218222008112,0.3134261551585755,0.6635859911212363,0.6903536411744932,0.3919058695428564,0.6479502565066996,0.46486337268782474
chemprop_randominit,0,4,3644269654,0.8402526333424254,0.7241311087530384,0.20512091172601443,0.5069674229074801,0.35095584395392365,0.6269280306486681,0.6210113071713989,0.526652993802946,0.7197266199537203,0.5290074030128308
chemprop_randominit,1,0,1206282609,0.7920048461112957,0.6580711999639303,0.31948805089631965,0.5698371773936315,0.40281787340354275,0.7269880418768636,0.6238703933584556,0.44195445719278786,0.6569086311632093,0.47570598647991275
chemprop_randominit,1,1,3543069911,0.8891187243971812,0.7356634432841056,0.21253098160669875,0.486518997907746,0.3385712660130958,0.6594735576675732,0.7202224148509022,0.31324984555825863,0.6625284149527838,0.48097704123589285
chemprop_randominit,1,2,3479688010,1.02500543255471,0.6861112535058815,-0.015152635055816727,0.4083100362413629,0.2837219445768855,0.6342114202006557,0.5869661255772788,0.5232771099308652,0.7190603767280874,0.526962960200462
chemprop_randominit,1,3,877132087,0.7900952736276576,0.6301657258347159,0.2075732425158256,0.49018215530133197,0.3435671513576206,0.6054157612591968,0.5512154829021043,0.5018026108675221,0.7198953058607108,0.5347803406166108
chemprop_randominit,1,4,1244265337,1.0007763859942775,0.7178899162883234,0.06585301658156824,0.3792583624145375,0.26382922258484587,0.6729958882534138,0.6198462512648067,0.488215042947337,0.7350938906969746,0.5415359849429665
chemprop_randominit,2,0,2740186692,0.8825072969080753,0.640487983254397,0.25235635058830463,0.5303030200436908,0.36626491367986813,0.6245126277104662,0.6316773821006305,0.41844058659612265,0.6671869826682549,0.48228784672647046
chemprop_randominit,2,1,3884972972,0.8832943498893524,0.7207225613040569,0.23733291789360242,0.45365939741238503,0.3155003732403963,0.6947228822339793,0.6660138513119959,0.40951901178269234,0.6711446302054688,0.4838225201048903
chemprop_randominit,2,2,829139639,0.8924205363962051,0.6698356194050392,0.25796892448995773,0.46895427652771443,0.3333771856506536,0.7113133128539808,0.6045799612855073,0.4461508469221855,0.6856412771537138,0.5010070515078776
chemprop_randominit,2,3,2545567356,0.9337001096658174,0.6789031023335433,0.17589133287851497,0.4871035466781592,0.3398122142357677,0.7513919446585391,0.6719159057269841,0.3927448614434645,0.7591557588649915,0.5622157613088877
chemprop_randominit,2,4,2718398101,0.9056694177811335,0.7300313707962577,0.12606547699206866,0.4978386516918411,0.3425669007168092,0.6085203003556019,0.6125345100087775,0.4740056947820758,0.7130845860071403,0.5234391070095006
chemprop_randominit,3,0,176092387,0.8165991604829445,0.6684778845712258,0.23070736550287205,0.49868280879050525,0.35312428143621,0.6620777201768173,0.6195768425174637,0.368739571153185,0.6485386123242367,0.4738227179386333
chemprop_randominit,3,1,3528048386,0.8464184104097805,0.6892618345824773,0.25324335185263336,0.4649149493463297,0.3253384338634762,0.6630168089054276,0.5949554012322578,0.49809035782005967,0.7108118607352624,0.5252570319752835
chemprop_randominit,3,2,569531098,0.9593365973964967,0.6562937598580943,0.20071892458309887,0.535968914072885,0.37812714247701096,0.570672703272248,0.6175336577221604,0.5182530067590644,0.737174857072071,0.5378089772440047
chemprop_randominit,3,3,1337295874,1.0108691838761297,0.7600095498445545,0.09312692756714815,0.38058337198269065,0.26077700104287893,0.7879691936507369,0.7678852753409822,0.12809351508858918,0.6399933349900145,0.4574008601866507
chemprop_randominit,3,4,612016888,0.9959766594840431,0.7200454150398788,0.1498668487496188,0.42929935080032255,0.29393454148717324,0.6236919892564801,0.5963521568101114,0.5107814141530029,0.7070528720900653,0.5160462291450651
chemprop_randominit,4,0,232150720,1.0525444699533262,0.708063729561256,0.10507846624347915,0.4821496327080468,0.3339806023015505,0.7002499789187201,0.6029861988283809,0.3980418539697634,0.7174557497659761,0.5296559356726861
chemprop_randominit,4,1,2324106676,1.030004948555009,0.7323818403724068,0.09713622640060064,0.38329065069931334,0.2673227610961019,0.5890542677393139,0.60802014553991,0.45838724557177934,0.6905374303482661,0.5034025470148624
chemprop_randominit,4,2,1658700540,0.9925627312881518,0.715705870328702,0.08036677150175868,0.3963859880548714,0.27812516812128374,0.6970994534635979,0.6183440074682721,0.39792662153036873,0.6770452229185835,0.49318809652158424
chemprop_randominit,4,3,609942288,1.0543253470582545,0.755572599837773,0.10719767461396675,0.451390919373922,0.306310656289586,0.4847956679695746,0.5717742890808087,0.5834501867874388,0.7680777543080913,0.5729444010824739
chemprop_randominit,4,4,3405943863,0.8376465920304853,0.7189553968070034,0.30400643897226304,0.5316691476300186,0.37344172866138925,0.6746759727683195,0.6275255900507056,0.4675895519451747,0.7217111636658018,0.5334382680120344
ecfp4_narrow__lightgbm,0,0,2684470948,0.8709138289620585,0.633941769104342,0.2097476962306828,0.44821753763035516,0.31621152443219125,0.5905294061891696,0.6041551535886999,0.5195865994462192,0.7063359826761193,0.5168514199165547
ecfp4_narrow__lightgbm,0,1,4091952314,0.7963469171777384,0.6749229831750071,0.2574588980411165,0.5118823249085345,0.3531674669878433,0.5778982772756229,0.5376087894665982,0.5507566064280909,0.7318069421051512,0.5418880689043625
ecfp4_narrow__lightgbm,0,2,233227757,0.9383951976198256,0.7020396236353339,0.0789174559390384,0.3750822998344142,0.25958970559377165,0.6425292511093577,0.5804816085869056,0.4859247568623653,0.679275027020456,0.4978483698195114
ecfp4_narrow__lightgbm,0,3,3276785861,0.9866942709201707,0.6799160887951582,0.12788268848186599,0.40958786104924666,0.280853747427695,0.6595000347584768,0.6353489574912535,0.4637946506959687,0.7012186780616966,0.5083414212692947
ecfp4_narrow__lightgbm,0,4,3644269654,0.8037117032975915,0.69958017679132,0.21450391417766992,0.46722509149530683,0.3292718931803746,0.5884187304703061,0.6129647315282657,0.5149641176730777,0.7173183416313803,0.5264552484227549
ecfp4_narrow__lightgbm,1,0,1206282609,0.8487052770195126,0.7019876467881173,0.2354739583733354,0.467991841676442,0.32530807790572114,0.6781538297875283,0.5950337035157827,0.48392452783915385,0.690955579348246,0.5072785236920148
ecfp4_narrow__lightgbm,1,1,3543069911,0.8516014970170493,0.7177461889411101,0.22942878580718704,0.4936411528373368,0.3446738393649312,0.6496357940187014,0.6544065304271645,0.4901861959279072,0.6935627290189852,0.5043070718485521
ecfp4_narrow__lightgbm,1,2,3479688010,0.915501911654944,0.630748670600134,0.12711629031121424,0.42389204834233,0.2957729805986553,0.637204627528343,0.6046358023549994,0.49896362007607986,0.684909409613988,0.4973299649796898
ecfp4_narrow__lightgbm,1,3,877132087,0.8331048941984106,0.6525800739315316,0.19147661006475283,0.4700792741338892,0.32749396680026166,0.6034353873414493,0.5643411077307364,0.5061592151792764,0.7147921225120115,0.5238409056470055
ecfp4_narrow__lightgbm,1,4,1244265337,0.9010045541652635,0.670513958504557,0.2042241806032337,0.448182832668322,0.31430769532568625,0.6075117427646499,0.625090022649171,0.4557561661092019,0.6853682100797551,0.49811612845010117
ecfp4_narrow__lightgbm,2,0,2740186692,0.8738509871749734,0.6420481637050591,0.18363300060105822,0.4381950097908711,0.30335436410433436,0.6029453212415604,0.5838300820587119,0.5035331059728286,0.6980720851566512,0.5137814677020589
ecfp4_narrow__lightgbm,2,1,3884972972,0.8803960120218667,0.7315503947915614,0.14172396444711396,0.3755939799275102,0.2594248723710773,0.6109863727855409,0.602649599306204,0.5159914611647104,0.7103880874146561,0.520254348509341
ecfp4_narrow__lightgbm,2,2,829139639,0.8384643573381256,0.6456902512665612,0.20512222734535945,0.48621584377167265,0.337774222927598,0.6853341695099631,0.6021565922384384,0.4358138832144509,0.6693511370260034,0.4808505547113149
ecfp4_narrow__lightgbm,2,3,2545567356,0.8786183599840333,0.6460366268734398,0.21003283582607998,0.47310130485135904,0.3343824434562719,0.5463561786298802,0.5863897444213949,0.5618458832150195,0.75830393381053,0.5601835978554376
ecfp4_narrow__lightgbm,2,4,2718398101,0.8956413945765919,0.7352696876341659,0.13076820777894427,0.4473835408718554,0.30965871803981765,0.6020062153532812,0.5750302618468579,0.537533429215502,0.7191912081749751,0.5306766125541295
ecfp4_narrow__lightgbm,3,0,176092387,0.8461234841785433,0.6942906607181778,0.1836624583787539,0.44202417316371395,0.3033835910326882,0.6454981035647197,0.5829248247415285,0.47509434175366677,0.6931943157283151,0.5013516881715082
ecfp4_narrow__lightgbm,3,1,3528048386,0.876218729021968,0.713598649554981,0.19121966077154456,0.4035727569615496,0.2806527072401129,0.5994817440398389,0.5417407849231587,0.5923940833547781,0.7416114224289442,0.5545849215534856
ecfp4_narrow__lightgbm,3,2,569531098,0.8853695762324647,0.6386653812155437,0.18081452976258455,0.43281519810598024,0.29615238167759983,0.6107467672628762,0.6319641290621244,0.48375278899616025,0.6917276470144271,0.5003793457069275
ecfp4_narrow__lightgbm,3,3,1337295874,0.949281359470145,0.7365114697633773,0.08358286556883798,0.3213603297004457,0.22073883834618477,0.5891792060425599,0.6196215526433207,0.49185842601816204,0.6980170892687257,0.5081919421344665
ecfp4_narrow__lightgbm,3,4,612016888,0.8830733685518287,0.6695841184449312,0.21254801990099656,0.4602645412433336,0.3217820332678866,0.6134825611819331,0.585754793230791,0.5118157118588761,0.7181632107102195,0.5269949272749086
ecfp4_narrow__lightgbm,4,0,232150720,0.9234165350689664,0.661512169713821,0.1632401940197209,0.4415252495846806,0.3041133290230728,0.6824980226880146,0.5949382304417865,0.4782852859231047,0.6674089469283649,0.48501515679213186
ecfp4_narrow__lightgbm,4,1,2324106676,0.9324359757827638,0.6966924844635859,0.12266824734415543,0.39105078821338474,0.2695218788789763,0.6336105648934651,0.5924752731366305,0.4914176172943777,0.6931384232540853,0.5066905416749229
ecfp4_narrow__lightgbm,4,2,1658700540,0.8473953195474162,0.6579277429132158,0.17749193322183895,0.4106875060398302,0.2927891538889272,0.5888374196279803,0.5551862711209373,0.5359312111428709,0.7351067963298766,0.5418794337287068
ecfp4_narrow__lightgbm,4,3,609942288,0.845004357482418,0.6657891134499747,0.2426838006027049,0.5336305412829598,0.37855936719501476,0.5118303099895049,0.5857133584550984,0.5716799702248145,0.764678845956564,0.5679186708748383
ecfp4_narrow__lightgbm,4,4,3405943863,0.860113465252533,0.74130300919146,0.1729986185526326,0.4114664603812781,0.2851076325255023,0.6757659176145071,0.659964983784099,0.434401516674524,0.663855151652569,0.4779817879662331
ecfp4_narrow__rf,0,0,2684470948,0.9041875322828059,0.6476211354037154,0.16194047856546132,0.3982115023551332,0.2740948473520492,0.586007178168966,0.6111793534604087,0.5085640770311946,0.7021857135894098,0.5136944858086301
ecfp4_narrow__rf,0,1,4091952314,0.7558405164465581,0.6592670777009649,0.2536873890240703,0.5178479907868735,0.3593543302423777,0.5792941216545026,0.5518955003635685,0.5420361090894762,0.7125995972919228,0.5196218679704255
ecfp4_narrow__rf,0,2,233227757,0.8735313257542271,0.6724664495529837,0.12119967889095687,0.36428127948948197,0.25505229785950023,0.6690266693621774,0.6051776939615379,0.4521784920247308,0.6588954704956645,0.47758303675227004
ecfp4_narrow__rf,0,3,3276785861,1.0079919787471225,0.6925327343357173,0.09150369238277183,0.3952042132298557,0.26612252488737786,0.6272532706079478,0.6312452716165121,0.47526097968738124,0.6989761588001439,0.512663239461767
ecfp4_narrow__rf,0,4,3644269654,0.7868997611368505,0.6965410202965148,0.22892660836716444,0.48921572459651363,0.34405989845406704,0.6301112031379745,0.6380570354701373,0.47618439119583506,0.6894120817957415,0.499714713851051
ecfp4_narrow__rf,1,0,1206282609,0.8711238474027537,0.7211161173067044,0.19612399024766353,0.4184769862439985,0.2887748983312177,0.6650404959099847,0.5989281272098942,0.4703661335771251,0.677426683740479,0.4953790775728604
ecfp4_narrow__rf,1,1,3543069911,0.8353546175921122,0.7158797263268152,0.2160831120460088,0.4981681442276108,0.3448450188406324,0.6192214497056677,0.6470119745552735,0.49816141166597244,0.7016460398801652,0.5113593233176976
ecfp4_narrow__rf,1,2,3479688010,0.9095834077609768,0.635880290508999,0.10472761375719597,0.3607787397592894,0.25096802729557305,0.6264783589690658,0.6057099561000693,0.49455549473729465,0.6802973144012685,0.49630248825085277
ecfp4_narrow__rf,1,3,877132087,0.8332461606256087,0.6463213883467658,0.18357814550708368,0.4601476508491613,0.31321652226429214,0.6350127619240092,0.5866135115694594,0.47043351924383237,0.6936937057814054,0.5022870049564867
ecfp4_narrow__rf,1,4,1244265337,0.8941448058758037,0.6703119090795788,0.18173641908008104,0.4234257318131142,0.2992267121731981,0.6278243162896994,0.6442504707131786,0.424157503809485,0.6552217802429856,0.47464779493302567
ecfp4_narrow__rf,2,0,2740186692,0.8569527498567409,0.6376173086726746,0.1979277097615895,0.44224939381148687,0.30855356336799755,0.6343637042082771,0.609401006259608,0.4750564909079442,0.6747929976004416,0.49102792612100693
ecfp4_narrow__rf,2,1,3884972972,0.8354758988253037,0.7091083573861973,0.18205359308755772,0.40560364142862737,0.28556930193346514,0.6449365055658856,0.6324400371998589,0.48601028075429104,0.6864097534579481,0.49571007659251853
ecfp4_narrow__rf,2,2,829139639,0.792358304733152,0.6217140511540435,0.27240117813891906,0.5212227131783789,0.36518055196014104,0.6642302524347784,0.6061681518786678,0.4350475189236873,0.6624486646914625,0.47716548233331213
ecfp4_narrow__rf,2,3,2545567356,0.8871735443890465,0.6549656624899152,0.18452842668937144,0.4189511810482792,0.28856022215542515,0.5481750798839189,0.5868923311517076,0.5425623304391071,0.7422159692455066,0.5488509844673901
ecfp4_narrow__rf,2,4,2718398101,0.8979074274400656,0.7319337544301614,0.12454022646029794,0.40267348355897514,0.27445233761742055,0.6200448934032043,0.5950987567149661,0.5015229371438189,0.6907000477878136,0.5062031293601157
ecfp4_narrow__rf,3,0,176092387,0.7717207869935024,0.6518543142083179,0.2391255853994382,0.4987979066665132,0.35130750549338685,0.6679986011167547,0.6133097885709607,0.4225577530191978,0.6613268821804763,0.4747714785606611
ecfp4_narrow__rf,3,1,3528048386,0.8735334820396624,0.7160689384493137,0.19849308987698147,0.423382125535017,0.29589406994175077,0.6154365635898421,0.5735839227738136,0.5427169060559753,0.7061464433083617,0.5213405436914764
ecfp4_narrow__rf,3,2,569531098,0.8590209275075881,0.6206979694477502,0.20016485955334948,0.45794363727099635,0.3192255060583182,0.6339885031809797,0.64087625948939,0.46906007566275143,0.6817916010566314,0.4939560617008784
ecfp4_narrow__rf,3,3,1337295874,0.9359678709197233,0.7275906351308982,0.07491214712191457,0.3543079596623225,0.2457505153794509,0.6202660762987495,0.6425593336076355,0.45537971421843404,0.6771653362286811,0.4899422038861492
ecfp4_narrow__rf,3,4,612016888,0.9194485983318941,0.6935063133927041,0.1741571710085536,0.4013279518992719,0.2763112603720425,0.6120493161693342,0.6054068635764307,0.49138245616636483,0.7063879420708518,0.5171985481240662
ecfp4_narrow__rf,4,0,232150720,0.8860801076985797,0.6462924075389918,0.158399961304435,0.4051742913807369,0.27690991982861257,0.6768750630442976,0.6008858780877244,0.4731774279143238,0.6520095619868026,0.47481034976622916
ecfp4_narrow__rf,4,1,2324106676,0.9379705214423962,0.7023603984213769,0.08645311890372523,0.36718902127629044,0.2500970645469908,0.6303620179113733,0.5983222596616191,0.4777771822516396,0.6800613441906946,0.49327947315647
